Name,ID,Rating,Preferred,Age,Acceleration,Aggression,Agility,Attacking_Position,Balance,Ball_Control,Composure,Crossing,Curve,Dribbling,Finishing,Freekick_Accuracy,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,Heading,Interceptions,Jumping,Long_Pass,Long_Shots,Marking,Penalties,Reactions,Short_Pass,Shot_Power,Sliding_Tackle,Sprint,Stamina,Standing_Tackle,Strength,Vision,Volleys
C. Immobile,192387,87,ST,28,78,77,77,91,63,83,81,0,70,83,90,0,0,0,0,0,0,81,0,77,0,80,0,78,87,74,86,0,85,80,0,76,65,87
A. Lacazette,193301,85,ST,27,81,70,85,86,85,83,85,0,74,85,88,0,0,0,0,0,0,73,0,76,0,75,0,84,85,80,83,0,84,79,0,73,76,81
E. Džeko,180930,85,ST,32,65,51,57,89,36,84,83,0,65,76,89,0,0,0,0,0,0,84,0,66,0,79,0,67,83,77,86,0,66,76,0,80,74,77
Diego Costa,179844,85,ST,29,74,93,58,87,53,83,83,0,62,77,87,0,0,0,0,0,0,82,0,64,0,74,0,75,85,65,83,0,76,76,0,92,74,81
K. Benzema,165153,85,ST,30,76,65,76,86,66,86,79,0,79,83,81,0,0,0,0,0,0,80,0,73,0,75,0,82,83,83,81,0,76,75,0,80,85,82
Z. Ibrahimovi?,41236,85,ST,36,58,84,75,85,39,84,90,0,82,79,86,0,0,0,0,0,0,83,0,68,0,82,0,89,82,79,90,0,59,61,0,86,79,86
M. Depay,202556,84,ST,24,87,76,82,83,79,85,79,0,85,85,79,0,0,0,0,0,0,65,0,74,0,81,0,75,79,80,87,0,87,79,0,80,82,74
Iago Aspas,192629,84,ST,30,85,63,87,86,74,85,85,0,80,86,88,0,0,0,0,0,0,78,0,68,0,82,0,82,85,79,79,0,78,75,0,60,75,83
M. Mandžuki?,181783,84,ST,32,67,88,67,90,53,77,80,0,64,76,84,0,0,0,0,0,0,90,0,85,0,60,0,76,86,75,80,0,73,83,0,85,74,86
Jonas,176769,84,ST,34,65,61,77,87,69,88,87,0,85,84,88,0,0,0,0,0,0,84,0,69,0,85,0,84,85,76,84,0,64,66,0,63,83,85
Falcao,167397,84,ST,32,69,75,76,88,75,82,87,0,83,75,86,0,0,0,0,0,0,89,0,91,0,80,0,81,85,79,79,0,66,68,0,75,70,84
A. Gómez,143076,84,ST,30,94,56,92,81,94,87,84,0,79,89,76,0,0,0,0,0,0,38,0,70,0,79,0,72,83,82,76,0,86,75,0,48,85,72
Gabriel Jesus,230666,83,ST,21,87,73,92,88,91,85,82,0,76,86,84,0,0,0,0,0,0,74,0,77,0,73,0,78,86,76,78,0,85,84,0,68,77,72
Louri Beretta,230294,83,ST,26,79,65,55,83,55,74,79,0,59,75,85,0,0,0,0,0,0,83,0,84,0,82,0,77,84,73,85,0,83,56,0,87,58,82
Gerard Moreno,208093,83,ST,26,77,55,70,83,69,81,72,0,71,78,83,0,0,0,0,0,0,80,0,72,0,77,0,73,82,78,81,0,80,72,0,74,58,79
S. Gnabry,206113,83,ST,22,92,63,87,80,88,83,74,0,64,87,81,0,0,0,0,0,0,46,0,64,0,81,0,68,80,79,85,0,90,68,0,68,74,83
Rodrigo,198329,83,ST,27,88,60,84,83,77,82,77,0,83,82,78,0,0,0,0,0,0,80,0,78,0,76,0,77,80,78,83,0,91,78,0,72,74,77
B. Dost,189068,83,ST,29,49,70,32,89,32,74,81,0,61,68,87,0,0,0,0,0,0,94,0,51,0,72,0,88,85,73,82,0,54,82,0,92,68,85
M. Balotelli,186627,83,ST,27,76,70,71,79,50,85,81,0,78,81,85,0,0,0,0,0,0,67,0,74,0,79,0,92,68,78,89,0,82,66,0,86,74,78
Luis Alberto,198706,82,CF,25,77,29,79,81,74,88,72,0,86,86,80,0,0,0,0,0,0,49,0,54,0,77,0,56,83,88,77,0,72,73,0,67,87,76
S. Giovinco,184431,82,CF,31,88,75,94,82,91,86,82,0,90,86,80,0,0,0,0,0,0,34,0,34,0,81,0,73,80,80,80,0,80,77,0,42,81,75
J. Vardy,208830,82,ST,31,89,92,75,85,76,76,82,0,60,76,85,0,0,0,0,0,0,69,0,76,0,67,0,81,88,65,85,0,91,86,0,67,72,82
A. Belotti,208596,82,ST,24,78,83,79,85,75,75,75,0,64,78,88,0,0,0,0,0,0,84,0,83,0,67,0,77,76,68,81,0,79,83,0,84,61,80
Morata,201153,82,ST,25,76,56,66,85,60,82,76,0,76,83,80,0,0,0,0,0,0,86,0,84,0,72,0,70,79,78,80,0,86,68,0,78,76,80
W. Ben Yedder,199451,82,ST,27,87,55,91,87,87,83,84,0,80,84,84,0,0,0,0,0,0,74,0,81,0,69,0,76,83,78,79,0,83,69,0,60,79,78
C. Bakambu,198951,82,ST,27,88,72,80,85,72,82,80,0,78,80,84,0,0,0,0,0,0,71,0,79,0,74,0,69,81,75,84,0,88,79,0,76,73,80
W. Zaha,198717,82,ST,25,89,73,88,78,82,87,81,0,57,90,77,0,0,0,0,0,0,47,0,57,0,68,0,66,77,75,78,0,92,76,0,75,77,61
Willian José,195093,82,ST,26,62,65,65,87,43,80,75,0,68,79,84,0,0,0,0,0,0,84,0,72,0,77,0,80,81,78,84,0,65,73,0,90,68,80
M. Arnautovi?,184200,82,ST,29,79,84,70,83,66,85,81,0,79,84,78,0,0,0,0,0,0,74,0,67,0,75,0,77,78,78,84,0,83,78,0,84,77,79
M. Kruse,183574,82,ST,30,69,63,74,85,76,85,86,0,80,82,83,0,0,0,0,0,0,63,0,65,0,79,0,90,85,84,81,0,67,71,0,72,83,80
O. Giroud,178509,82,ST,31,43,76,57,83,54,83,78,0,70,70,83,0,0,0,0,0,0,90,0,84,0,74,0,83,83,79,85,0,50,62,0,88,76,82
David Villa,113422,82,ST,36,72,67,71,86,73,85,83,0,83,83,86,0,0,0,0,0,0,67,0,67,0,79,0,88,83,76,81,0,67,70,0,66,75,79
Aduriz,106231,82,ST,37,64,82,50,87,55,82,87,0,61,76,83,0,0,0,0,0,0,92,0,90,0,78,0,82,85,72,82,0,66,60,0,82,73,80
A. Milik,205175,81,CF,24,69,67,68,81,63,78,72,0,71,74,88,0,0,0,0,0,0,78,0,62,0,82,0,79,75,63,85,0,74,73,0,78,60,76
L. Stindl,187072,81,CF,29,74,74,70,84,78,83,83,0,79,78,79,0,0,0,0,0,0,64,0,73,0,83,0,80,84,85,81,0,67,78,0,69,83,86
Raffael,144622,81,CF,33,74,66,83,82,83,85,79,0,79,87,78,0,0,0,0,0,0,63,0,70,0,74,0,72,82,83,77,0,66,62,0,62,81,83
H. Lozano,221992,81,ST,22,94,64,91,77,76,80,77,0,72,84,77,0,0,0,0,0,0,60,0,75,0,76,0,64,77,74,76,0,93,80,0,59,75,75
Morales,216475,81,ST,30,88,58,78,77,80,83,83,0,82,87,80,0,0,0,0,0,0,54,0,62,0,80,0,76,75,75,76,0,88,82,0,60,75,64
J. Martínez,207877,81,ST,25,89,66,91,84,90,78,75,0,68,75,84,0,0,0,0,0,0,77,0,86,0,65,0,70,79,68,79,0,92,72,0,73,58,73
C. Bacca,207664,81,ST,31,73,58,73,90,77,80,78,0,69,80,84,0,0,0,0,0,0,75,0,74,0,60,0,80,80,68,80,0,75,66,0,74,68,78
S. Zaza,202685,81,ST,27,79,87,76,83,69,79,72,0,71,77,80,0,0,0,0,0,0,79,0,89,0,72,0,79,78,71,85,0,79,76,0,88,66,81
K. Volland,200610,81,ST,25,78,78,73,81,84,81,80,0,79,79,81,0,0,0,0,0,0,67,0,78,0,81,0,72,82,81,85,0,77,88,0,82,81,77
Paco Alcácer,200454,81,ST,24,82,59,83,86,84,81,82,0,78,78,85,0,0,0,0,0,0,77,0,75,0,68,0,71,84,76,80,0,80,65,0,64,65,84
F. Smolov,187491,81,ST,28,88,67,75,84,66,78,73,0,78,77,84,0,0,0,0,0,0,70,0,67,0,81,0,74,74,77,80,0,85,74,0,75,75,79
F. Quagliarella,159261,81,ST,35,73,44,71,84,75,81,81,0,78,76,84,0,0,0,0,0,0,68,0,69,0,89,0,84,81,76,87,0,67,66,0,76,77,87
B. Gomis,159145,81,ST,32,69,52,59,79,58,79,82,0,61,78,84,0,0,0,0,0,0,82,0,74,0,75,0,83,78,75,84,0,70,68,0,83,69,79
Joaquín,45186,81,ST,36,69,53,72,81,72,83,80,0,86,85,80,0,0,0,0,0,0,59,0,33,0,76,0,75,80,82,74,0,65,54,0,64,84,68
M. Gómez,239207,80,ST,21,61,65,45,83,53,77,65,0,68,76,85,0,0,0,0,0,0,81,0,73,0,76,0,67,77,76,79,0,65,71,0,80,60,76
M. Marega,227536,80,ST,27,87,88,67,84,50,65,71,0,58,62,80,0,0,0,0,0,0,81,0,74,0,74,0,71,76,68,86,0,88,91,0,90,65,75
Mariano,221639,80,ST,24,84,86,79,79,72,72,68,0,76,75,81,0,0,0,0,0,0,82,0,92,0,82,0,75,82,69,85,0,85,81,0,79,63,70
Santi Mina,212623,80,ST,22,77,69,78,82,75,80,69,0,69,81,82,0,0,0,0,0,0,76,0,74,0,74,0,67,80,69,78,0,81,75,0,73,65,70
S. Haller,205693,80,ST,24,68,74,68,84,53,79,74,0,52,72,84,0,0,0,0,0,0,80,0,80,0,64,0,88,82,70,77,0,76,72,0,91,72,79
M. Batshuayi,204529,80,ST,24,77,63,75,84,76,80,81,0,66,78,82,0,0,0,0,0,0,75,0,80,0,75,0,67,79,64,81,0,76,66,0,78,62,85
E. Zahavi,204399,80,ST,30,73,68,88,82,72,83,74,0,74,81,83,0,0,0,0,0,0,68,0,74,0,76,0,65,78,78,79,0,72,74,0,68,81,77
Deulofeu,202477,80,ST,24,89,40,94,77,77,86,76,0,84,88,69,0,0,0,0,0,0,40,0,70,0,66,0,77,74,78,72,0,88,70,0,54,76,68
M. Uth,200318,80,ST,26,77,61,74,83,67,78,76,0,60,78,85,0,0,0,0,0,0,69,0,77,0,84,0,74,85,72,85,0,76,75,0,67,71,74
L. Muriel,199110,80,ST,27,86,50,85,81,80,83,75,0,77,85,78,0,0,0,0,0,0,65,0,62,0,65,0,74,79,75,80,0,89,74,0,80,73,75
V. Aboubakar,199069,80,ST,26,76,77,72,80,63,80,86,0,80,81,80,0,0,0,0,0,0,77,0,78,0,75,0,76,77,75,81,0,83,83,0,85,81,81
Sergi Enrich,194879,80,ST,28,60,66,70,84,67,80,69,0,55,76,81,0,0,0,0,0,0,81,0,81,0,70,0,63,82,79,77,0,65,80,0,83,72,82
L. de Jong,189805,80,ST,27,53,52,58,84,59,76,77,0,63,66,79,0,0,0,0,0,0,93,0,81,0,69,0,64,81,76,84,0,57,83,0,84,69,83
C. Stuani,186537,80,ST,31,70,81,65,82,62,79,77,0,66,78,80,0,0,0,0,0,0,87,0,83,0,75,0,80,81,74,79,0,69,81,0,78,69,74
Alexandre Pato,180175,80,ST,28,84,63,83,79,69,80,74,0,81,81,80,0,0,0,0,0,0,69,0,78,0,73,0,74,78,75,76,0,85,67,0,72,66,75
K. Gameiro,176600,80,ST,31,86,66,81,85,77,79,82,0,76,75,78,0,0,0,0,0,0,67,0,85,0,73,0,81,80,79,82,0,85,75,0,64,75,78
D. Sturridge,171833,80,ST,28,72,60,74,81,64,80,81,0,62,79,83,0,0,0,0,0,0,70,0,70,0,79,0,75,78,72,82,0,78,55,0,66,74,73
A. Gignac,153244,80,ST,32,73,80,66,80,55,73,80,0,77,73,83,0,0,0,0,0,0,78,0,72,0,79,0,78,74,70,84,0,68,71,0,89,72,78
M. Gómez,150418,80,ST,32,63,73,62,83,50,71,83,0,68,72,81,0,0,0,0,0,0,82,0,76,0,74,0,69,80,70,82,0,66,60,0,86,62,73
W. Rooney,54050,80,ST,32,65,81,66,80,77,80,86,0,84,74,80,0,0,0,0,0,0,75,0,74,0,80,0,81,82,81,85,0,65,74,0,78,82,83
Fernando Torres,49369,80,ST,34,71,62,70,80,51,79,69,0,80,80,76,0,0,0,0,0,0,77,0,75,0,73,0,74,73,79,83,0,78,60,0,72,76,81
Ricardo Goulart,192064,79,CF,27,80,61,72,83,80,81,75,0,70,78,77,0,0,0,0,0,0,76,0,66,0,74,0,72,76,81,76,0,77,75,0,65,77,74
Richarlison,231943,79,ST,21,83,82,78,78,74,79,77,0,71,84,79,0,0,0,0,0,0,75,0,80,0,64,0,69,78,75,80,0,85,78,0,76,72,64
L. Martínez,231478,79,ST,20,82,74,79,79,70,79,77,0,71,78,82,0,0,0,0,0,0,79,0,81,0,68,0,59,75,62,79,0,83,75,0,86,72,68
Luimo Boas Santos,230498,79,ST,30,86,43,83,82,69,78,73,0,79,82,79,0,0,0,0,0,0,73,0,82,0,82,0,74,82,74,75,0,82,80,0,67,75,76
André Silva,228941,79,ST,22,77,76,77,83,72,79,75,0,69,77,82,0,0,0,0,0,0,77,0,84,0,60,0,80,77,69,76,0,83,77,0,74,68,79
K. Toko-Ekambi,224069,79,ST,25,84,43,79,80,75,80,78,0,62,80,81,0,0,0,0,0,0,74,0,71,0,72,0,69,76,69,78,0,83,70,0,77,65,72
A. Sanabria,219932,79,ST,22,77,32,78,82,75,83,76,0,73,82,81,0,0,0,0,0,0,77,0,75,0,65,0,69,74,74,75,0,79,69,0,76,73,67
M. Philipp,216497,79,ST,24,84,55,83,79,75,82,67,0,68,85,81,0,0,0,0,0,0,54,0,59,0,79,0,75,79,78,82,0,79,68,0,68,74,80
A. Saint-Maximin,216388,79,ST,21,92,36,93,74,87,81,72,0,70,87,70,0,0,0,0,0,0,53,0,68,0,70,0,47,78,72,80,0,92,74,0,66,70,59
L. Alario,215353,79,ST,25,71,72,72,85,71,79,74,0,49,75,84,0,0,0,0,0,0,81,0,90,0,62,0,75,71,69,75,0,73,71,0,78,65,76
D. Benedetto,215061,79,ST,28,78,66,77,82,71,74,78,0,67,71,86,0,0,0,0,0,0,76,0,87,0,80,0,72,74,67,81,0,84,77,0,76,69,71
Roger,207732,79,ST,27,78,65,78,83,78,76,70,0,48,76,82,0,0,0,0,0,0,72,0,75,0,72,0,80,75,72,80,0,79,72,0,74,65,78
Zé Luís,203757,79,ST,27,80,76,64,78,61,81,72,0,66,80,74,0,0,0,0,0,0,83,0,92,0,64,0,75,80,67,79,0,81,68,0,83,75,75
Sergio León,198715,79,ST,29,76,71,81,80,75,78,78,0,73,77,82,0,0,0,0,0,0,76,0,77,0,79,0,75,77,72,78,0,75,73,0,68,61,81
C. Wilson,196978,79,ST,26,87,73,74,82,74,77,78,0,63,74,83,0,0,0,0,0,0,73,0,65,0,66,0,75,74,71,76,0,89,72,0,75,71,69
C. Tosun,192991,79,ST,27,72,75,73,81,66,78,77,0,72,75,79,0,0,0,0,0,0,82,0,80,0,75,0,82,80,72,83,0,75,73,0,74,61,74
Kike García,192678,79,ST,28,65,71,65,79,54,80,63,0,42,75,80,0,0,0,0,0,0,80,0,74,0,75,0,70,75,70,82,0,71,71,0,79,65,81
Elkeson,192598,79,ST,28,86,68,77,77,74,77,76,0,76,76,75,0,0,0,0,0,0,79,0,76,0,72,0,85,75,75,86,0,76,79,0,77,78,76
Alex Teixeira,188081,79,ST,28,93,52,90,80,83,81,84,0,73,80,77,0,0,0,0,0,0,54,0,82,0,75,0,74,82,80,72,0,90,83,0,72,79,78
N. Kalini?,185431,79,ST,30,67,68,69,87,58,78,78,0,64,73,83,0,0,0,0,0,0,78,0,68,0,60,0,70,78,72,76,0,73,71,0,77,66,75
N. Petersen,183580,79,ST,29,57,60,64,85,57,70,82,0,57,64,84,0,0,0,0,0,0,82,0,66,0,65,0,76,84,65,79,0,62,81,0,76,61,83
S. Joveti?,181820,79,ST,28,68,50,79,80,68,83,78,0,85,82,80,0,0,0,0,0,0,74,0,70,0,80,0,80,76,81,81,0,73,68,0,72,82,79
Eder,178311,79,ST,31,85,60,81,83,80,83,78,0,80,83,78,0,0,0,0,0,0,60,0,50,0,76,0,78,78,76,80,0,84,78,0,60,78,76
J. Hernández,178224,79,ST,30,77,59,75,86,79,77,79,0,67,73,84,0,0,0,0,0,0,79,0,83,0,66,0,74,82,65,75,0,69,66,0,53,70,74
Ángel,177633,79,ST,31,74,62,79,79,76,81,70,0,49,80,79,0,0,0,0,0,0,74,0,76,0,80,0,69,80,73,81,0,74,66,0,64,62,78
Charles,164029,79,ST,34,64,66,86,83,69,82,78,0,78,79,80,0,0,0,0,0,0,79,0,93,0,78,0,70,80,69,83,0,59,63,0,71,55,84
L. López,142707,79,ST,35,77,61,84,82,80,80,84,0,78,78,80,0,0,0,0,0,0,76,0,84,0,75,0,80,74,75,77,0,83,77,0,75,72,74
B. Y?lmaz,124375,79,ST,32,81,85,72,85,48,69,71,0,60,69,82,0,0,0,0,0,0,72,0,66,0,74,0,79,81,66,85,0,79,69,0,79,64,77
E. Adebayor,53050,79,ST,34,67,70,65,78,52,74,84,0,64,72,80,0,0,0,0,0,0,92,0,76,0,66,0,79,76,72,78,0,70,57,0,82,76,76
Loren,242348,78,ST,24,63,38,60,75,57,81,70,0,60,79,86,0,0,0,0,0,0,76,0,68,0,80,0,77,78,74,78,0,66,60,0,61,60,73
L. Jovi?,232432,78,ST,20,75,57,74,78,65,77,73,0,72,76,81,0,0,0,0,0,0,76,0,66,0,72,0,60,78,72,79,0,77,69,0,76,65,80
Soares,227476,78,ST,27,79,90,71,84,65,77,79,0,69,75,76,0,0,0,0,0,0,77,0,78,0,68,0,68,78,68,77,0,86,76,0,78,58,73
Dyego Sousa,224116,78,ST,28,58,80,53,80,39,76,68,0,46,74,81,0,0,0,0,0,0,83,0,74,0,75,0,75,75,64,84,0,54,82,0,83,53,75
W. Weghorst,223689,78,ST,25,53,73,64,82,44,76,78,0,40,64,81,0,0,0,0,0,0,84,0,79,0,62,0,73,79,70,80,0,69,84,0,86,62,67
O. Al Soma,223627,78,ST,29,73,67,69,77,67,76,71,0,69,71,80,0,0,0,0,0,0,77,0,63,0,76,0,74,77,69,84,0,71,82,0,89,70,67
G. Simeone,216816,78,ST,22,79,70,76,80,74,76,76,0,69,76,80,0,0,0,0,0,0,80,0,84,0,66,0,71,76,68,79,0,78,74,0,72,60,72
D. Zapata,215333,78,ST,27,68,60,64,78,58,76,76,0,48,72,81,0,0,0,0,0,0,78,0,79,0,64,0,68,74,64,86,0,75,66,0,91,46,76
L. Pavoletti,205850,78,ST,29,66,60,65,80,59,74,73,0,49,66,81,0,0,0,0,0,0,93,0,86,0,56,0,64,76,64,80,0,63,66,0,84,52,80
N. Füllkrug,205431,78,ST,25,65,67,66,82,52,74,72,0,69,70,81,0,0,0,0,0,0,80,0,69,0,72,0,77,77,67,79,0,65,73,0,83,61,71
R. Jiménez,204838,78,ST,27,69,80,73,83,49,74,74,0,71,74,76,0,0,0,0,0,0,81,0,68,0,68,0,90,76,71,79,0,76,76,0,78,71,77
E. Sala,204819,78,ST,27,56,75,59,82,55,75,81,0,72,75,80,0,0,0,0,0,0,81,0,77,0,75,0,73,80,71,79,0,61,92,0,84,63,77
S. García,204385,78,ST,27,67,86,68,84,68,76,77,0,68,71,82,0,0,0,0,0,0,75,0,75,0,73,0,77,71,61,82,0,66,75,0,88,71,71
G. Defrel,202851,78,ST,27,88,53,82,81,72,82,75,0,67,83,79,0,0,0,0,0,0,68,0,42,0,78,0,69,75,67,79,0,87,59,0,58,75,75
J. Guidetti,199602,78,ST,26,65,75,64,79,60,77,78,0,68,76,76,0,0,0,0,0,0,75,0,70,0,80,0,81,78,75,84,0,65,64,0,82,65,79
Lucas Pérez,199354,78,ST,29,76,67,70,79,73,80,75,0,82,79,78,0,0,0,0,0,0,68,0,63,0,79,0,79,80,75,82,0,78,70,0,69,81,78
L. Pratto,184252,78,ST,30,66,78,67,80,64,76,71,0,57,72,76,0,0,0,0,0,0,76,0,70,0,74,0,78,76,72,84,0,72,74,0,91,73,73
A. Dzyuba,187607,78,ST,29,66,75,50,78,32,77,70,0,64,71,79,0,0,0,0,0,0,86,0,63,0,68,0,77,75,71,78,0,65,77,0,93,73,74
M. Harnik,177666,77,ST,31,75,72,69,78,64,71,75,0,73,74,76,0,0,0,0,0,0,77,0,90,0,69,0,72,76,72,78,0,76,79,0,77,68,76
V. Germain,203280,77,ST,28,75,65,91,80,71,75,77,0,77,73,78,0,0,0,0,0,0,78,0,80,0,76,0,76,78,73,77,0,77,80,0,61,79,76
G. Hoarau,156432,77,ST,34,45,63,68,82,59,72,77,0,66,68,83,0,0,0,0,0,0,84,0,70,0,69,0,80,78,75,77,0,51,67,0,89,69,75
E. Choupo-Moting,183569,77,ST,29,76,55,76,77,66,80,75,0,74,83,75,0,0,0,0,0,0,74,0,67,0,64,0,68,74,74,77,0,78,76,0,76,70,75
M. Gabbiadini,198683,77,ST,26,67,57,70,79,56,79,71,0,78,77,79,0,0,0,0,0,0,66,0,74,0,77,0,72,74,72,82,0,70,63,0,71,72,72
G. Bou,188955,77,ST,28,78,52,74,78,76,77,78,0,66,77,77,0,0,0,0,0,0,74,0,77,0,73,0,71,74,71,80,0,78,80,0,75,71,74
Jonatan Soriano,110376,77,ST,32,67,58,79,80,70,78,77,0,84,80,83,0,0,0,0,0,0,66,0,73,0,75,0,78,78,79,75,0,53,70,0,69,77,75
J. Martínez,196144,77,ST,31,72,75,72,76,58,75,73,0,70,71,73,0,0,0,0,0,0,84,0,77,0,72,0,70,73,70,81,0,67,75,0,85,70,75
A. Carroll,182836,77,ST,29,43,88,57,78,47,74,76,0,53,67,77,0,0,0,0,0,0,91,0,83,0,76,0,73,77,66,83,0,50,50,0,92,65,74
T. Gutiérrez,196150,77,ST,33,63,80,72,81,74,81,82,0,67,77,80,0,0,0,0,0,0,73,0,80,0,76,0,72,75,73,78,0,59,67,0,75,76,74
Wilson Eduardo,199737,77,ST,27,78,59,73,79,68,78,80,0,82,78,76,0,0,0,0,0,0,66,0,64,0,80,0,77,77,73,83,0,81,68,0,68,73,77
A. Prijovi?,189757,77,ST,28,74,69,54,80,51,75,80,0,52,70,79,0,0,0,0,0,0,80,0,74,0,68,0,66,74,64,73,0,72,75,0,86,55,62
J. Calleri,219455,77,ST,24,71,65,72,79,79,75,74,0,57,74,76,0,0,0,0,0,0,83,0,83,0,69,0,62,77,66,78,0,72,74,0,71,67,71
J. Rodriguez,169792,77,ST,28,75,41,75,78,64,75,75,0,69,75,77,0,0,0,0,0,0,76,0,81,0,72,0,77,76,72,74,0,77,76,0,72,69,73
V. Ibiševi?,162369,77,ST,33,41,83,60,82,59,76,79,0,73,72,80,0,0,0,0,0,0,79,0,71,0,66,0,83,83,77,81,0,44,51,0,77,71,84
S. Rondón,189250,77,ST,28,69,72,66,77,46,71,76,0,53,70,75,0,0,0,0,0,0,84,0,71,0,68,0,65,73,68,85,0,68,72,0,85,53,75
K. Huntelaar,148803,77,ST,34,50,69,58,84,62,69,81,0,72,62,80,0,0,0,0,0,0,79,0,77,0,73,0,62,79,68,80,0,57,53,0,78,66,81
R. Ábila,226378,77,ST,28,68,76,67,81,82,76,72,0,52,69,80,0,0,0,0,0,0,76,0,72,0,57,0,75,73,64,83,0,67,68,0,89,51,72
J. Sand,152912,77,ST,37,47,75,67,84,67,81,82,0,54,66,83,0,0,0,0,0,0,84,0,72,0,73,0,84,84,71,76,0,39,57,0,73,73,80
Vágner Love,137809,77,ST,34,76,72,77,83,82,75,74,0,68,76,77,0,0,0,0,0,0,78,0,77,0,72,0,83,70,70,80,0,73,73,0,75,72,70
C. Austin,195671,77,ST,28,62,67,62,83,55,73,78,0,59,66,79,0,0,0,0,0,0,81,0,81,0,71,0,83,78,62,83,0,58,55,0,78,61,72
M. Zárate,153177,77,ST,31,80,66,88,77,73,84,73,0,80,86,79,0,0,0,0,0,0,55,0,70,0,82,0,72,76,73,77,0,75,70,0,66,63,75
Munir,220253,77,ST,22,78,48,78,77,78,80,76,0,70,81,78,0,0,0,0,0,0,75,0,63,0,77,0,66,71,77,76,0,80,69,0,63,71,75
G. Sio,183389,77,ST,29,78,77,79,76,73,76,72,0,73,76,77,0,0,0,0,0,0,71,0,70,0,74,0,72,71,73,77,0,85,78,0,74,73,73
Jô,140384,77,ST,31,66,50,68,79,54,75,82,0,62,73,78,0,0,0,0,0,0,80,0,74,0,67,0,72,73,67,78,0,72,70,0,85,71,74
Jorge Molina,154472,77,ST,36,34,76,33,82,32,77,73,0,55,68,79,0,0,0,0,0,0,82,0,42,0,75,0,80,79,75,83,0,41,64,0,90,69,79
O. Ighalo,185195,77,ST,29,84,78,75,84,69,76,82,0,64,80,76,0,0,0,0,0,0,71,0,80,0,62,0,63,78,61,73,0,81,78,0,78,60,70
L. Acosta,188268,77,ST,30,92,73,91,75,91,78,77,0,65,81,72,0,0,0,0,0,0,55,0,80,0,68,0,64,77,71,77,0,93,71,0,40,74,71
J. Defoe,50542,77,ST,35,73,62,77,85,87,77,82,0,63,74,85,0,0,0,0,0,0,65,0,68,0,78,0,74,78,66,84,0,63,55,0,54,65,82
M. Dabbur,208498,77,ST,26,74,39,77,80,71,75,66,0,74,76,81,0,0,0,0,0,0,75,0,89,0,65,0,76,72,72,75,0,76,81,0,78,64,72
Djaniny,205427,77,ST,27,78,55,76,78,67,78,77,0,64,78,78,0,0,0,0,0,0,73,0,71,0,63,0,67,75,70,76,0,85,82,0,81,72,66
C. Wood,192123,77,ST,26,68,74,65,79,61,74,77,0,69,66,78,0,0,0,0,0,0,83,0,76,0,71,0,81,75,65,80,0,75,70,0,84,64,69
Formosandrinho,230524,77,ST,26,81,52,79,75,77,73,78,0,61,72,76,0,0,0,0,0,0,77,0,56,0,77,0,56,73,65,85,0,81,61,0,72,56,72
