Name,ID,Rating,Preferred,Age,Acceleration,Aggression,Agility,Attacking_Position,Balance,Ball_Control,Composure,Crossing,Curve,Dribbling,Finishing,Freekick_Accuracy,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,Heading,Interceptions,Jumping,Long_Pass,Long_Shots,Marking,Penalties,Reactions,Short_Pass,Shot_Power,Sliding_Tackle,Sprint,Stamina,Standing_Tackle,Strength,Vision,Volleys
Lucas Pérez,199354,81,ST,28,78,69,74,81,75,82,76,0,83,81,85,0,0,0,0,0,0,68,0,65,0,82,0,79,81,77,83,0,78,74,0,73,76,79
Cédric Bakambu,198951,81,ST,25,87,62,81,82,69,82,73,0,68,80,81,0,0,0,0,0,0,71,0,78,0,68,0,72,81,75,84,0,88,74,0,80,73,78
Wilfried Bony,189963,81,ST,28,69,70,67,83,72,76,83,0,66,74,83,0,0,0,0,0,0,84,0,86,0,80,0,77,81,68,85,0,75,78,0,94,65,76
Salomón Rondón,189250,81,ST,27,76,72,72,82,48,78,75,0,53,75,81,0,0,0,0,0,0,88,0,72,0,70,0,62,73,69,86,0,77,68,0,91,53,75
Bas Dost,189068,81,ST,27,54,72,37,87,35,70,78,0,51,60,86,0,0,0,0,0,0,92,0,55,0,74,0,77,84,70,85,0,66,84,0,87,60,84
Mario Balotelli,186627,81,ST,26,76,70,69,76,50,85,64,0,78,81,83,0,0,0,0,0,0,66,0,75,0,74,0,92,62,72,86,0,78,60,0,85,70,74
Nikola Kalinić,185431,81,ST,29,69,70,69,90,58,79,78,0,64,74,85,0,0,0,0,0,0,80,0,68,0,68,0,70,85,72,78,0,78,79,0,78,66,80
Christian Benteke,184111,81,ST,26,75,65,74,76,48,80,78,0,60,72,79,0,0,0,0,0,0,86,0,82,0,76,0,77,71,72,85,0,79,77,0,90,73,74
Loïc Rémy,179527,81,ST,30,87,57,77,81,65,76,76,0,66,75,80,0,0,0,0,0,0,80,0,89,0,77,0,78,77,75,78,0,86,73,0,74,71,71
André-Pierre Gignac,153244,81,ST,31,75,80,66,81,60,77,80,0,77,75,82,0,0,0,0,0,0,80,0,70,0,80,0,78,76,73,84,0,72,72,0,88,72,80
Lukas Podolski,150516,81,ST,31,79,70,69,79,72,78,79,0,80,78,82,0,0,0,0,0,0,65,0,65,0,81,0,83,76,77,92,0,77,67,0,77,78,89
Negredo,146439,81,ST,31,64,78,67,80,57,79,67,0,68,72,81,0,0,0,0,0,0,83,0,79,0,77,0,80,76,75,85,0,65,65,0,88,64,81
Rubén Castro,115909,81,ST,35,80,50,87,86,77,81,70,0,72,83,84,0,0,0,0,0,0,73,0,76,0,78,0,76,87,69,77,0,77,75,0,61,74,72
Jermain Defoe,50542,81,ST,34,78,63,83,87,88,77,84,0,63,78,87,0,0,0,0,0,0,68,0,74,0,81,0,71,80,68,88,0,77,73,0,62,67,83
Fernando Torres,49369,81,ST,33,76,62,74,82,54,81,69,0,80,82,77,0,0,0,0,0,0,76,0,75,0,73,0,74,73,78,83,0,78,63,0,76,76,81
Didier Drogba,31432,81,ST,39,64,80,63,81,56,80,80,0,78,74,82,0,0,0,0,0,0,85,0,76,0,79,0,84,80,60,85,0,64,62,0,86,76,76
Samuel Eto'o,9676,81,ST,36,73,75,79,83,74,80,84,0,78,80,84,0,0,0,0,0,0,73,0,85,0,75,0,85,79,76,85,0,75,68,0,70,75,80
Jamie Vardy,208830,81,ST,30,94,92,77,83,79,76,78,0,59,75,83,0,0,0,0,0,0,64,0,70,0,68,0,76,83,66,85,0,92,90,0,69,72,75
Thorgan Hazard,203486,80,CF,24,86,62,91,80,81,80,78,0,80,85,79,0,0,0,0,0,0,38,0,64,0,78,0,73,80,79,78,0,77,77,0,59,81,77
Josip Iličić,200647,80,CF,29,69,58,70,78,56,87,78,0,77,83,78,0,0,0,0,0,0,58,0,34,0,86,0,78,78,82,86,0,75,69,0,68,82,80
Diego Perotti,183900,80,CF,28,85,51,80,78,79,87,76,0,72,86,66,0,0,0,0,0,0,57,0,64,0,75,0,82,80,82,73,0,79,76,0,55,84,60
Max Kruse,183574,80,CF,29,74,63,76,83,76,83,78,0,75,81,79,0,0,0,0,0,0,54,0,66,0,78,0,86,81,83,79,0,71,79,0,69,82,79
Francesco Totti,1238,80,CF,40,43,69,59,80,60,91,85,0,75,82,81,0,0,0,0,0,0,42,0,34,0,86,0,86,79,90,88,0,34,54,0,75,91,90
Michy Batshuayi,204529,80,ST,23,81,59,84,83,78,77,81,0,61,78,83,0,0,0,0,0,0,73,0,81,0,76,0,67,79,64,83,0,84,65,0,82,63,74
Leo Baptistao,205976,80,ST,24,79,38,78,85,67,82,60,0,70,80,80,0,0,0,0,0,0,79,0,70,0,71,0,65,81,76,73,0,81,69,0,72,69,74
Valère Germain,203280,80,ST,26,78,65,90,84,77,80,76,0,76,76,82,0,0,0,0,0,0,79,0,80,0,77,0,77,79,78,79,0,79,81,0,61,78,79
Kevin Volland,200610,80,ST,24,78,75,73,80,84,81,80,0,79,79,80,0,0,0,0,0,0,69,0,77,0,80,0,72,81,81,85,0,77,88,0,82,80,74
Manolo Gabbiadini,198683,80,ST,25,79,57,74,78,56,84,71,0,78,80,81,0,0,0,0,0,0,73,0,76,0,89,0,72,75,74,87,0,79,69,0,76,72,73
Fedor Smolov,187491,80,ST,27,86,67,75,83,66,78,73,0,78,77,82,0,0,0,0,0,0,70,0,67,0,74,0,74,74,77,80,0,85,74,0,75,75,79
Danny Welbeck,186146,80,ST,26,87,77,85,81,64,78,76,0,61,81,77,0,0,0,0,0,0,75,0,80,0,70,0,70,78,77,77,0,85,84,0,78,72,76
Konstantinos Mitroglou,183483,80,ST,29,53,83,51,82,34,78,81,0,73,76,82,0,0,0,0,0,0,85,0,79,0,78,0,61,79,67,82,0,62,71,0,85,67,80
Stevan Jovetić,181820,80,ST,27,78,50,80,80,69,88,80,0,85,85,80,0,0,0,0,0,0,68,0,70,0,82,0,80,76,78,82,0,81,69,0,75,78,79
Eder,178311,80,ST,30,86,60,81,85,80,85,78,0,80,83,81,0,0,0,0,0,0,60,0,54,0,78,0,78,78,76,80,0,84,76,0,60,78,76
Kevin-Prince Boateng,173909,80,ST,30,75,82,77,77,58,83,80,0,81,79,73,0,0,0,0,0,0,74,0,85,0,77,0,67,73,80,84,0,73,70,0,86,76,83
Vedad Ibišević,162369,80,ST,32,54,82,66,85,59,76,79,0,73,72,85,0,0,0,0,0,0,82,0,72,0,66,0,77,84,76,80,0,64,68,0,79,73,84
Robin van Persie,7826,80,ST,33,66,59,69,84,59,82,79,0,86,82,78,0,0,0,0,0,0,75,0,57,0,80,0,84,77,74,83,0,64,62,0,65,79,85
Florin Andone,225018,79,ST,23,81,81,79,84,69,76,86,0,54,73,79,0,0,0,0,0,0,76,0,79,0,74,0,74,83,62,79,0,79,87,0,75,67,77
Omar Al Soma,223627,79,ST,28,79,67,74,77,74,76,71,0,69,71,80,0,0,0,0,0,0,77,0,75,0,76,0,74,79,69,84,0,76,81,0,83,70,67
Ángel Correa,214997,79,ST,22,86,41,87,79,83,85,71,0,82,87,81,0,0,0,0,0,0,61,0,54,0,82,0,55,82,65,78,0,80,69,0,59,69,77
Divock Origi,213135,79,ST,21,87,69,77,80,62,76,70,0,54,78,79,0,0,0,0,0,0,73,0,73,0,69,0,65,76,75,77,0,85,74,0,82,71,70
Luciano Vietto,207441,79,ST,23,78,66,79,83,87,85,71,0,83,86,82,0,0,0,0,0,0,69,0,74,0,75,0,69,82,79,70,0,75,69,0,57,73,81
Alassane Pléa,206467,79,ST,24,81,59,78,77,78,76,74,0,77,76,80,0,0,0,0,0,0,72,0,73,0,78,0,63,72,76,83,0,82,80,0,78,76,81
Arkadiusz Milik,205175,79,ST,23,73,67,69,79,63,76,72,0,71,71,84,0,0,0,0,0,0,74,0,62,0,78,0,79,75,63,83,0,75,77,0,74,60,76
Simone Zaza,202685,79,ST,25,77,78,77,83,68,77,68,0,68,76,80,0,0,0,0,0,0,80,0,85,0,76,0,80,69,65,82,0,78,69,0,80,66,76
Nicola Sansone,201858,79,ST,25,86,68,87,78,87,80,76,0,76,84,80,0,0,0,0,0,0,65,0,66,0,82,0,66,74,75,83,0,84,74,0,65,79,71
Paco Alcácer,200454,79,ST,23,74,59,76,87,78,79,66,0,66,72,81,0,0,0,0,0,0,77,0,75,0,68,0,71,86,72,80,0,73,66,0,63,63,82
Willian José,195093,79,ST,25,64,65,59,81,51,79,73,0,63,76,82,0,0,0,0,0,0,75,0,56,0,78,0,80,80,73,83,0,68,66,0,86,63,75
Martin Braithwaite,193290,79,ST,25,82,75,90,83,76,77,77,0,72,80,78,0,0,0,0,0,0,66,0,85,0,73,0,73,74,79,79,0,87,81,0,77,76,75
Jonathas,189169,79,ST,28,72,79,59,81,53,78,75,0,40,72,80,0,0,0,0,0,0,78,0,75,0,73,0,78,74,63,85,0,77,66,0,87,65,74
Seydou Doumbia,188428,79,ST,29,90,65,70,78,70,77,81,0,79,80,79,0,0,0,0,0,0,73,0,83,0,75,0,79,80,74,79,0,92,84,0,67,74,78
Artem Dzyuba,187607,79,ST,28,69,75,50,83,37,78,70,0,65,71,78,0,0,0,0,0,0,88,0,60,0,66,0,77,76,71,79,0,73,83,0,93,79,72
Demba Ba,177134,79,ST,31,72,63,46,79,57,75,82,0,76,72,80,0,0,0,0,0,0,78,0,75,0,71,0,89,77,73,81,0,75,69,0,84,68,79
Marcus Berg,176733,79,ST,30,74,61,71,83,71,77,75,0,66,72,80,0,0,0,0,0,0,77,0,74,0,74,0,70,75,72,79,0,75,69,0,76,66,74
Moussa Sow,172124,79,ST,31,86,72,86,80,71,76,78,0,75,79,77,0,0,0,0,0,0,77,0,80,0,73,0,75,80,74,78,0,85,75,0,77,73,86
Giuseppe Rossi,162409,79,ST,30,83,24,84,82,86,86,82,0,78,83,84,0,0,0,0,0,0,63,0,65,0,80,0,87,76,76,74,0,82,59,0,55,76,80
Llorente,162131,79,ST,32,52,71,40,85,33,77,84,0,57,67,78,0,0,0,0,0,0,90,0,56,0,64,0,70,80,71,79,0,57,63,0,91,70,80
Bafétimbi Gomis,159145,79,ST,31,66,52,59,79,58,76,82,0,61,72,80,0,0,0,0,0,0,81,0,73,0,75,0,83,76,73,84,0,70,66,0,85,69,79
Klaas-Jan Huntelaar,148803,79,ST,33,64,69,65,81,62,75,80,0,73,69,81,0,0,0,0,0,0,80,0,77,0,78,0,56,81,73,81,0,67,65,0,76,61,83
Lisandro López,142707,79,ST,34,75,57,82,81,79,80,79,0,76,77,79,0,0,0,0,0,0,76,0,79,0,75,0,84,76,75,77,0,80,82,0,73,71,74
Burak Yılmaz,124375,79,ST,31,83,85,72,86,48,65,65,0,66,69,82,0,0,0,0,0,0,72,0,66,0,73,0,79,81,66,85,0,82,68,0,77,62,77
Michail Antonio,190717,79,ST,27,88,75,86,77,76,78,67,0,66,81,73,0,0,0,0,0,0,88,0,82,0,70,0,73,75,71,75,0,89,80,0,85,65,68
Marcus Rashford,231677,78,ST,19,92,56,86,81,76,79,73,0,67,83,76,0,0,0,0,0,0,68,0,66,0,64,0,74,76,73,75,0,90,79,0,61,70,73
Gabriel Jesus,230666,78,ST,19,88,56,92,79,91,83,84,0,76,85,80,0,0,0,0,0,0,61,0,63,0,72,0,73,82,74,73,0,85,84,0,61,72,67
André Silva,228941,78,ST,21,78,76,77,83,73,78,70,0,69,77,75,0,0,0,0,0,0,77,0,84,0,66,0,77,79,67,76,0,85,85,0,76,66,74
Soares,227476,78,ST,26,83,84,74,81,77,77,67,0,68,75,79,0,0,0,0,0,0,76,0,76,0,65,0,68,78,63,77,0,84,84,0,85,58,69
Antonio Sanabria,219932,78,ST,21,81,32,82,80,75,83,76,0,73,82,80,0,0,0,0,0,0,69,0,75,0,65,0,69,74,71,75,0,83,72,0,76,72,67
Andrej Kramarić,216354,78,ST,25,78,73,78,81,75,80,75,0,68,81,79,0,0,0,0,0,0,69,0,69,0,76,0,79,79,68,79,0,69,76,0,67,59,76
Lucas Alario,215353,78,ST,24,73,72,69,85,70,77,66,0,49,74,80,0,0,0,0,0,0,81,0,91,0,62,0,70,69,68,74,0,70,71,0,79,64,78
Duván Zapata,215333,78,ST,25,69,58,65,78,58,76,73,0,46,72,81,0,0,0,0,0,0,78,0,79,0,64,0,64,74,64,86,0,78,69,0,90,47,76
Timo Werner,212188,78,ST,21,92,63,79,80,77,77,64,0,62,78,82,0,0,0,0,0,0,65,0,77,0,64,0,63,80,74,71,0,90,78,0,59,57,72
André Hahn,211862,78,ST,26,70,79,65,77,60,72,68,0,67,71,79,0,0,0,0,0,0,71,0,82,0,77,0,47,76,73,84,0,86,87,0,81,70,74
Raúl Jiménez,204838,78,ST,25,77,75,84,85,53,75,73,0,70,74,75,0,0,0,0,0,0,82,0,70,0,69,0,86,77,71,78,0,78,78,0,78,71,79
Łukasz Teodorczyk,201013,78,ST,25,75,76,63,83,58,72,77,0,50,69,82,0,0,0,0,0,0,80,0,74,0,69,0,65,74,69,77,0,77,79,0,77,65,76
Nicolai Jørgensen,199852,78,ST,26,76,60,66,76,64,80,68,0,69,78,78,0,0,0,0,0,0,71,0,72,0,77,0,72,74,73,80,0,78,84,0,81,75,73
John Guidetti,199602,78,ST,24,65,75,65,78,58,83,78,0,68,76,79,0,0,0,0,0,0,67,0,68,0,80,0,81,76,70,85,0,66,64,0,82,60,77
Rogelio Funes Mori,198140,78,ST,26,83,80,79,80,73,76,76,0,75,75,81,0,0,0,0,0,0,76,0,82,0,68,0,70,75,70,75,0,77,83,0,77,72,74
Teófilo Gutiérrez,196150,78,ST,31,66,77,76,81,74,83,82,0,67,78,80,0,0,0,0,0,0,73,0,80,0,76,0,72,77,77,78,0,67,68,0,76,76,75
Charlie Austin,195671,78,ST,27,66,67,65,83,55,74,78,0,59,66,82,0,0,0,0,0,0,81,0,82,0,71,0,77,78,59,83,0,74,74,0,81,61,72
Borja Bastón,194996,78,ST,24,58,61,61,83,41,80,70,0,68,69,78,0,0,0,0,0,0,77,0,56,0,73,0,72,78,66,81,0,67,60,0,89,65,80
Sergi Enrich,194879,78,ST,27,60,66,68,85,65,79,65,0,55,73,81,0,0,0,0,0,0,80,0,76,0,67,0,63,82,69,73,0,67,77,0,80,63,79
Cenk Tosun,192991,78,ST,25,74,72,76,80,66,76,74,0,72,74,78,0,0,0,0,0,0,82,0,80,0,73,0,82,78,70,80,0,73,74,0,80,61,76
Fredy Montero,190919,78,ST,29,75,52,87,77,84,86,75,0,86,83,78,0,0,0,0,0,0,75,0,81,0,82,0,77,74,78,80,0,74,74,0,58,83,82
Mame Diouf,187084,78,ST,29,88,70,75,78,68,70,73,0,32,65,80,0,0,0,0,0,0,87,0,91,0,64,0,75,76,67,80,0,87,79,0,78,60,71
Sandro Wagner,184069,78,ST,29,54,88,53,82,49,73,61,0,55,65,82,0,0,0,0,0,0,88,0,61,0,72,0,64,79,47,84,0,65,68,0,90,47,75
Raúl Bobadilla,183249,78,ST,29,69,86,66,76,78,75,72,0,78,78,77,0,0,0,0,0,0,74,0,82,0,72,0,68,75,73,85,0,76,77,0,91,64,76
Troy Deeney,183125,78,ST,28,69,80,65,77,74,75,78,0,68,65,80,0,0,0,0,0,0,82,0,86,0,78,0,80,74,73,86,0,69,79,0,92,67,74
Andy Carroll,182836,78,ST,28,69,85,62,76,50,74,78,0,53,67,77,0,0,0,0,0,0,91,0,84,0,78,0,73,77,65,85,0,65,75,0,92,65,74
Luiz Adriano,180826,78,ST,29,78,38,77,82,69,80,72,0,72,77,82,0,0,0,0,0,0,76,0,83,0,70,0,76,70,72,76,0,78,72,0,72,66,78
Dieumerci Mbokani,177392,78,ST,31,76,68,83,76,66,74,85,0,48,73,77,0,0,0,0,0,0,79,0,83,0,68,0,72,75,73,80,0,81,78,0,83,69,72
Adrián Ramos,176619,78,ST,31,78,58,75,78,68,75,78,0,68,74,78,0,0,0,0,0,0,86,0,91,0,64,0,72,77,69,76,0,83,72,0,75,65,73
Marco Ruben,165560,78,ST,30,77,65,71,82,72,80,75,0,64,72,83,0,0,0,0,0,0,75,0,80,0,67,0,74,78,68,75,0,76,68,0,73,70,68
Fabio Quagliarella,159261,78,ST,34,76,44,72,82,75,81,78,0,76,75,80,0,0,0,0,0,0,60,0,69,0,89,0,77,76,71,87,0,68,69,0,78,71,85
Rodrigo Palacio,152999,78,ST,35,83,79,81,84,83,84,80,0,78,82,80,0,0,0,0,0,0,75,0,80,0,62,0,79,76,74,70,0,79,69,0,62,76,76
Soldado,146758,78,ST,31,60,73,65,83,64,79,79,0,74,71,78,0,0,0,0,0,0,78,0,76,0,74,0,79,79,78,79,0,62,58,0,70,78,81
Vágner Love,137809,78,ST,32,76,72,76,82,82,77,76,0,68,78,79,0,0,0,0,0,0,76,0,77,0,73,0,85,72,71,80,0,73,75,0,79,72,72
Alexander Meier,121170,78,ST,34,34,60,49,86,40,76,82,0,88,72,81,0,0,0,0,0,0,77,0,48,0,79,0,76,80,76,82,0,52,59,0,88,79,80
Claudio Pizarro,25420,78,ST,38,45,68,67,85,55,80,85,0,75,77,82,0,0,0,0,0,0,78,0,65,0,74,0,81,78,77,76,0,45,54,0,78,79,77
Alan Ruiz,213582,77,CF,23,61,42,74,70,72,83,81,0,75,86,75,0,0,0,0,0,0,63,0,55,0,84,0,66,73,79,81,0,64,75,0,76,80,82
Kylian Mbappe Lottin,231747,77,ST,18,87,57,77,75,75,81,79,0,74,83,76,0,0,0,0,0,0,75,0,71,0,58,0,65,75,75,74,0,88,76,0,69,77,67
Formosandrinho,230524,77,ST,25,81,52,79,75,77,73,51,0,61,72,76,0,0,0,0,0,0,77,0,56,0,77,0,56,73,65,85,0,81,61,0,72,56,72
Louri Beretta,230294,77,ST,25,84,65,55,73,55,69,59,0,59,73,74,0,0,0,0,0,0,77,0,84,0,76,0,74,83,63,84,0,81,56,0,87,58,76
Vincent Janssen,226537,77,ST,22,72,77,64,79,70,75,75,0,54,68,81,0,0,0,0,0,0,73,0,75,0,68,0,81,75,74,83,0,76,81,0,80,50,66
Sandro,217731,77,ST,21,79,62,87,77,81,81,46,0,83,75,84,0,0,0,0,0,0,62,0,72,0,77,0,70,73,68,80,0,78,65,0,68,56,74
Darío Benedetto,215061,77,ST,26,78,64,76,77,66,73,70,0,67,74,74,0,0,0,0,0,0,75,0,88,0,80,0,66,75,68,81,0,84,74,0,71,69,71
Sardar Azmoun,213955,77,ST,22,83,65,77,75,77,75,56,0,66,74,79,0,0,0,0,0,0,76,0,90,0,76,0,55,74,69,75,0,82,54,0,72,60,69
Diego Rolán,213114,77,ST,24,75,62,76,83,69,77,72,0,68,78,79,0,0,0,0,0,0,68,0,72,0,65,0,75,79,76,75,0,78,67,0,63,74,67
Jhon Córdoba,210287,77,ST,23,76,85,66,76,74,73,75,0,60,75,73,0,0,0,0,0,0,74,0,75,0,68,0,69,75,69,82,0,85,77,0,90,62,74
Gerard Moreno,208093,77,ST,24,69,41,70,80,69,77,61,0,70,73,81,0,0,0,0,0,0,72,0,72,0,68,0,73,81,71,76,0,66,70,0,68,58,74
Leonardo Pavoletti,205850,77,ST,28,68,60,66,80,59,74,66,0,49,66,83,0,0,0,0,0,0,82,0,82,0,56,0,64,76,64,80,0,68,69,0,85,52,80
Sébastien Haller,205693,77,ST,22,75,41,69,77,51,79,65,0,52,72,79,0,0,0,0,0,0,75,0,80,0,62,0,86,75,64,77,0,78,71,0,91,70,70
Zé Luís,203757,77,ST,26,74,76,64,76,61,74,72,0,66,76,75,0,0,0,0,0,0,79,0,92,0,64,0,75,80,63,79,0,75,68,0,83,64,75
Nicolas De Préville,201073,77,ST,26,87,70,79,78,74,77,64,0,73,79,76,0,0,0,0,0,0,67,0,65,0,74,0,67,82,75,77,0,82,72,0,57,75,73
Marko Dević,200643,77,ST,33,77,63,76,80,68,76,69,0,66,74,80,0,0,0,0,0,0,75,0,80,0,73,0,74,74,72,75,0,78,71,0,70,69,73
Mark Uth,200318,77,ST,25,76,61,74,80,68,77,70,0,60,76,77,0,0,0,0,0,0,71,0,80,0,65,0,72,79,72,77,0,75,70,0,67,70,72
Nicolás Blandi,200197,77,ST,27,67,47,79,86,60,76,79,0,55,65,82,0,0,0,0,0,0,80,0,79,0,72,0,78,78,73,75,0,65,74,0,64,43,77
Luis Muriel,199110,77,ST,25,88,50,86,76,77,86,70,0,65,86,76,0,0,0,0,0,0,52,0,62,0,71,0,74,73,74,80,0,90,72,0,66,70,70
