,Rating,Preferred,Acceleration,Age,Aggression,Agility,Attacking_Position,Balance,Ball_Control,Composure,Crossing,Curve,Dribbling,Finishing,Freekick_Accuracy,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,Heading,Interceptions,Jumping,Long_Pass,Long_Shots,Marking,Penalties,Reactions,Short_Pass,Shot_Power,Sliding_Tackle,Sprint,Stamina,Standing_Tackle,Strength,Vision,Volleys
25,88,CB,62,28,66,64,56,58,77,91,64,65,68,55,53,15,6,10,5,6,90,89,68,82,51,85,68,85,78,71,87,65,66,92,85,79,60
26,88,GK,65,30,31,55,10,54,34,64,13,11,10,10,10,87,87,68,82,90,10,27,74,31,14,12,40,84,27,23,18,63,41,10,43,30,11
27,88,CB,69,32,90,59,28,65,55,78,58,60,56,33,31,3,3,2,4,3,80,88,89,59,49,92,50,78,55,78,90,79,69,92,91,50,45
28,88,RB,68,33,58,82,69,93,86,94,84,77,82,47,59,11,12,5,14,5,63,93,72,77,65,86,69,91,86,57,95,67,79,87,59,82,66
29,88,CB,65,34,94,63,40,49,62,68,46,44,58,46,47,8,15,5,9,10,82,88,76,61,56,88,57,84,70,63,89,75,64,87,84,48,23
30,88,GK,42,34,17,49,13,34,22,70,19,13,12,12,19,83,90,77,85,85,19,23,51,33,11,11,23,86,35,21,12,50,32,13,65,53,17
31,88,GK,49,39,38,55,12,49,28,80,13,20,26,15,13,87,88,68,90,84,13,28,75,35,13,10,22,80,37,39,11,43,39,11,69,50,17
32,88,CM,74,32,58,82,85,86,93,88,79,80,90,73,70,6,13,6,13,7,54,68,54,86,74,57,71,88,92,65,56,73,64,57,59,94,74
33,87,GK,43,24,34,67,11,49,16,55,13,13,12,11,14,83,90,77,87,82,15,19,76,26,12,14,11,84,29,22,18,60,41,12,78,55,13
34,87,CAM,77,25,65,82,80,73,85,79,88,87,84,82,86,15,15,15,5,14,62,55,54,80,91,25,81,84,84,86,30,75,68,42,70,86,91
35,87,ST,95,27,45,80,89,69,82,79,77,78,82,88,74,6,9,15,9,9,79,48,77,64,79,28,82,87,77,81,36,96,79,25,77,77,86
36,87,CB,65,29,82,61,38,55,75,82,44,56,68,37,61,2,2,3,2,4,84,90,85,83,65,84,70,84,75,74,88,75,73,88,85,74,55
37,87,CM,77,29,91,75,80,77,83,86,76,76,76,77,68,4,2,4,2,4,81,89,82,82,85,76,84,89,84,84,84,74,93,89,79,80,78
38,87,CM,67,29,67,71,80,66,87,81,81,88,84,83,84,14,11,12,5,9,58,69,51,92,88,52,78,79,87,84,53,65,76,65,63,87,80
39,87,CAM,72,31,51,92,81,88,90,92,85,83,85,70,77,1,1,1,1,1,54,41,66,78,74,23,77,84,91,71,29,65,68,42,56,92,80
40,87,GK,54,32,25,42,12,36,24,72,12,12,18,10,14,86,89,69,86,86,10,22,78,34,19,17,23,83,36,22,13,57,41,10,71,41,12
41,87,CB,56,30,72,58,58,44,78,76,57,58,59,64,43,10,11,14,15,8,83,88,74,80,51,86,69,84,81,62,86,73,69,87,83,62,57
42,87,RM,87,33,47,89,85,91,89,86,80,86,91,84,83,10,8,11,5,15,51,39,61,71,88,29,80,87,84,86,26,86,68,26,65,83,86
43,86,ST,91,23,48,91,85,85,91,82,78,88,91,88,82,5,4,4,5,8,68,24,75,67,88,14,84,85,83,82,20,86,81,20,65,82,88
44,86,CM,72,24,89,87,71,94,87,91,72,73,88,52,64,12,12,15,15,10,55,83,64,87,58,76,64,87,90,66,79,64,77,82,56,86,64
45,86,LB,86,24,69,82,77,77,83,79,82,78,79,63,83,5,7,14,15,9,75,85,82,80,83,81,80,84,83,83,83,86,87,83,69,78,68
46,86,RM,86,28,69,88,83,83,89,67,80,83,87,77,64,5,11,14,5,7,53,68,72,73,75,49,72,83,85,87,55,84,85,53,63,85,81
47,86,GK,46,25,28,52,7,44,22,62,9,9,16,9,8,85,86,76,85,83,13,22,73,33,14,8,23,81,37,23,18,52,43,15,68,53,10
48,86,CF,76,27,57,77,93,72,82,83,74,81,75,87,59,6,7,11,14,14,82,58,81,68,80,31,60,92,81,77,44,79,90,41,67,81,83
49,86,CDM,53,28,85,58,77,55,80,82,62,66,74,60,68,5,8,13,9,13,68,86,66,79,54,81,60,82,88,61,80,33,88,85,77,84,44
50,86,CM,77,25,57,90,83,85,91,81,72,83,90,69,77,6,11,7,9,13,58,74,75,86,82,49,75,84,90,75,62,68,74,64,59,85,90
51,86,LB,93,28,75,90,77,86,84,75,83,77,80,73,64,13,15,13,6,13,63,83,81,70,66,81,59,82,79,64,83,93,90,84,66,68,60
52,86,LW,89,24,55,91,83,91,88,79,77,84,88,73,79,12,7,9,14,6,47,30,59,78,85,24,64,81,85,79,40,77,79,44,61,87,75
53,86,RW,86,29,76,90,82,79,87,80,88,83,87,74,72,10,7,11,12,11,53,38,72,82,79,37,73,80,83,87,56,86,78,59,64,85,77
54,86,ST,76,28,93,58,88,52,83,84,65,62,79,89,59,11,13,12,8,11,82,40,64,52,72,28,76,85,67,84,34,78,85,39,91,74,82
55,86,ST,76,30,82,82,89,59,80,81,70,75,80,85,74,12,5,13,13,10,88,48,88,50,78,24,84,85,75,85,27,79,90,45,74,77,84
56,86,CM,81,28,88,81,88,84,85,85,73,73,80,76,68,11,11,14,8,11,59,86,76,81,86,78,63,87,84,84,88,78,94,85,78,76,75
57,86,LB,77,28,84,77,75,82,87,76,87,80,83,67,67,12,5,5,5,9,70,83,77,76,66,80,59,85,81,83,87,80,82,84,77,75,54
58,86,CM,79,31,78,81,82,79,85,84,76,78,84,65,78,4,3,4,2,4,68,82,67,85,82,72,78,86,87,82,78,79,83,78,71,84,76
59,86,CB,68,32,83,62,43,58,67,80,48,32,62,43,39,12,6,10,13,12,84,88,82,65,41,89,49,82,65,70,89,76,65,90,81,53,51
60,86,ST,79,29,65,77,87,60,86,82,75,79,82,87,73,13,11,5,5,7,78,22,70,47,77,13,82,83,86,83,12,82,74,15,78,85,79
61,86,CM,65,29,45,65,78,77,86,92,85,77,80,76,81,6,10,8,15,15,74,50,68,90,75,60,80,81,91,77,62,62,80,63,64,91,81
62,86,LM,85,33,52,88,81,91,90,86,81,83,90,76,81,15,6,9,7,10,41,36,50,75,73,13,78,86,86,76,26,79,64,25,60,86,80
63,86,CAM,75,32,64,85,82,91,87,88,85,86,86,77,78,6,9,5,7,15,58,64,70,84,82,58,80,85,86,78,52,65,72,64,59,85,72
64,86,CB,69,35,74,59,28,65,65,82,40,50,60,27,31,4,2,4,2,4,76,92,85,65,39,90,60,82,65,54,90,79,69,90,87,58,35
65,85,ST,69,23,74,74,86,62,82,83,70,71,77,88,66,8,10,11,14,11,83,35,70,67,80,41,82,85,75,86,38,77,84,36,84,72,70
66,85,ST,84,25,70,87,87,84,84,86,70,74,85,87,78,11,6,9,5,6,76,40,78,68,74,23,84,85,80,81,30,87,80,42,79,77,82
67,85,GK,54,30,32,60,16,61,19,49,11,11,16,15,15,87,82,72,80,85,11,20,74,37,13,12,25,82,30,21,14,53,39,14,75,54,11
68,85,ST,81,23,72,62,85,48,79,84,68,64,76,87,66,8,15,14,7,10,83,27,71,68,76,27,80,77,71,88,30,89,80,30,93,70,76
69,85,CAM,78,25,44,77,81,81,86,82,84,85,84,75,87,9,14,7,7,6,52,45,57,83,80,38,67,82,87,78,22,74,88,56,52,88,69
70,85,CM,77,26,68,85,77,83,88,86,74,81,87,69,74,11,14,5,5,13,49,79,62,83,74,57,76,87,90,77,64,74,73,64,74,87,75
71,85,CB,63,28,79,60,56,49,70,81,64,63,61,45,69,16,6,14,16,14,83,86,83,81,66,86,60,84,77,86,83,69,75,88,81,64,38
72,85,RM,92,28,44,87,78,82,86,74,75,80,87,75,85,14,12,13,7,13,29,55,46,77,80,43,60,81,82,71,51,86,86,62,61,83,59
73,85,CM,75,26,62,79,76,79,89,84,80,86,86,70,91,7,7,13,7,8,60,68,61,85,84,60,79,84,89,79,64,75,79,64,65,88,71
74,85,CAM,75,28,52,89,84,89,88,85,83,84,83,80,84,9,10,14,5,8,63,39,72,77,70,25,81,85,86,75,21,63,74,28,43,87,71
75,85,CB,49,28,87,54,57,58,71,83,60,61,62,55,45,5,12,9,11,8,86,85,77,76,63,82,52,83,77,76,87,53,62,86,84,74,61
76,85,LM,79,30,57,80,79,81,90,86,86,90,89,76,91,11,15,9,14,12,59,37,48,84,83,29,76,76,86,78,39,75,73,36,76,87,79
77,85,LW,93,29,59,94,81,92,88,75,77,80,88,77,77,7,10,8,10,4,35,36,60,74,81,30,78,80,80,80,40,87,76,40,42,81,70
78,85,CB,73,28,90,63,50,67,58,82,47,37,58,44,35,6,8,5,12,5,84,80,84,64,44,87,38,81,64,79,86,83,74,89,86,52,46
79,85,CM,75,29,56,76,84,63,86,77,78,80,83,78,72,8,6,4,14,14,74,70,72,81,82,60,70,86,87,79,62,77,83,71,69,86,79
80,85,CDM,79,29,85,77,68,79,77,85,75,65,73,65,52,8,11,5,10,14,73,85,83,79,66,83,56,84,84,74,81,79,94,85,78,75,72
81,85,GK,45,30,31,51,12,55,15,57,11,17,12,11,12,82,84,77,85,87,12,25,72,34,11,11,25,77,33,21,11,50,37,12,76,49,13
82,85,CB,78,31,90,70,31,62,67,80,54,22,62,32,49,13,11,9,11,7,84,86,86,69,47,83,51,82,76,54,86,80,77,87,76,56,35
83,85,LB,77,31,81,74,71,60,81,78,84,74,77,59,75,11,15,9,9,5,68,82,62,77,60,85,65,83,78,71,86,83,91,83,74,70,56
84,85,CB,68,30,81,60,41,42,66,85,61,61,63,45,52,10,9,5,8,6,84,77,73,66,55,85,63,83,65,75,86,69,68,88,87,59,46
85,84,CB,68,22,72,49,54,55,71,68,58,62,55,45,77,10,11,5,14,5,85,85,77,78,47,86,35,82,73,70,85,71,73,88,84,52,40
86,84,LM,87,23,61,91,82,71,85,66,80,81,90,78,78,9,11,9,10,10,53,18,68,72,75,19,74,83,77,84,26,89,74,39,59,74,68
87,84,RB,78,25,81,82,61,79,83,69,83,72,76,41,47,13,13,15,9,15,65,82,76,71,36,85,45,81,81,64,86,85,84,85,75,57,34
88,84,RM,86,26,40,92,80,82,90,82,80,79,88,77,75,15,9,13,11,6,45,38,59,76,73,25,72,75,80,76,21,79,77,27,57,79,71
89,84,CB,80,23,73,58,44,47,75,66,36,46,57,40,54,11,11,9,5,14,83,82,79,74,53,84,43,79,72,52,85,83,70,86,84,56,42
90,84,ST,78,24,35,75,89,76,79,76,46,58,75,89,45,13,9,5,7,9,84,22,90,54,70,17,78,83,73,81,21,80,72,21,76,64,81
91,84,LW,94,25,34,96,83,93,90,72,82,78,88,71,75,8,4,14,9,10,56,26,55,72,79,16,61,80,81,68,22,86,77,24,44,85,74
92,84,CM,76,24,58,83,83,82,90,76,72,86,89,79,74,10,8,12,15,6,55,65,64,82,80,25,76,78,84,72,49,69,71,66,59,84,64
93,84,CM,74,25,71,77,80,78,86,75,84,85,80,71,76,14,12,5,10,13,61,64,61,85,81,63,59,84,86,84,51,69,82,66,75,89,56
94,84,CB,79,25,86,69,25,60,65,75,27,30,54,10,10,8,6,8,15,12,80,85,86,61,12,88,26,81,60,43,87,80,79,86,84,22,16
95,84,GK,51,32,31,42,15,37,19,65,11,24,11,10,66,82,79,79,83,84,13,20,75,26,14,15,23,79,24,24,13,54,32,14,80,52,13
96,84,CB,68,29,89,71,49,62,64,74,52,50,41,53,39,12,5,8,11,12,85,82,90,66,56,81,44,78,70,69,83,75,78,84,81,45,56
97,84,CB,67,24,79,66,50,69,70,71,51,55,53,58,47,11,9,15,10,6,81,85,85,69,52,82,54,81,77,66,85,73,74,83,81,55,51
98,84,CDM,66,28,83,57,68,53,79,85,68,68,72,64,67,7,15,12,14,9,77,86,71,80,75,76,69,82,83,78,77,68,90,83,90,77,74
99,84,LB,83,26,70,79,72,79,81,80,86,78,82,57,59,7,7,9,12,5,72,82,79,69,72,76,59,80,79,78,82,89,93,82,79,70,68
100,84,CB,56,29,86,33,24,55,59,73,29,35,51,11,26,10,14,5,8,10,84,87,79,59,20,86,39,76,59,57,82,63,69,86,88,23,17
101,84,LM,96,26,55,91,78,90,84,73,79,81,87,72,78,13,15,9,12,5,58,43,61,72,84,41,77,79,80,88,44,88,77,58,62,80,73
102,84,CM,66,27,86,66,78,68,85,85,74,75,76,68,74,7,12,11,6,7,68,84,55,83,78,72,77,84,86,85,75,69,79,83,84,84,63
103,84,LM,85,29,57,87,79,81,85,80,83,88,86,73,72,8,11,9,7,5,54,40,68,78,74,30,71,84,82,72,43,80,71,42,50,82,81
104,84,CM,52,32,79,53,69,59,83,86,60,72,75,66,77,13,10,9,11,8,61,85,66,86,81,70,75,84,87,84,85,52,76,84,77,83,48
105,84,LM,83,28,59,78,84,67,83,80,84,73,84,78,76,6,7,10,9,6,78,42,82,73,80,26,76,80,81,83,45,87,86,45,77,78,80
106,84,CB,72,29,84,74,54,56,79,70,68,70,66,56,76,11,12,10,7,14,82,82,82,78,71,80,75,79,79,77,84,73,77,85,77,69,67
107,84,CM,63,29,82,59,80,55,81,84,72,68,78,70,68,11,9,5,15,8,76,86,69,81,80,76,69,86,85,84,78,69,79,86,91,80,76
108,84,CB,63,29,79,65,51,61,70,82,58,38,60,48,52,14,6,9,10,7,83,85,82,64,31,85,56,82,74,62,84,67,69,84,81,57,38
109,84,GK,38,28,36,39,11,36,24,61,14,18,15,11,11,83,86,51,85,87,14,23,72,26,9,12,21,84,25,24,10,47,32,12,79,42,11
110,84,GK,59,27,20,62,12,58,14,39,24,23,15,14,22,86,83,76,82,85,13,22,73,39,23,12,15,79,39,24,14,54,43,15,73,46,22
111,84,CAM,75,28,69,86,75,86,87,82,80,83,85,65,81,13,8,7,7,10,45,70,59,85,77,57,67,82,88,74,61,69,69,69,67,88,65
112,84,CB,69,29,84,59,39,55,65,78,45,34,64,49,27,7,4,8,7,11,85,80,83,65,24,86,41,78,65,59,84,69,69,86,89,47,31
113,84,GK,53,32,37,52,11,36,17,63,14,13,15,13,12,86,80,77,80,85,13,23,74,28,11,10,11,81,37,24,13,43,31,15,61,55,13
114,84,RB,79,33,78,85,72,87,85,82,84,78,84,60,74,5,11,9,6,7,72,82,79,77,78,72,70,82,81,86,84,83,75,80,55,78,68
115,84,CM,78,30,80,86,82,77,88,83,82,81,87,72,64,11,7,11,12,11,70,61,79,81,77,54,73,81,85,73,65,68,74,63,70,86,80
116,84,CB,67,32,88,71,51,78,80,86,63,63,58,42,50,6,10,8,5,5,68,90,75,75,55,82,60,83,79,76,83,65,86,84,74,68,51
117,84,ST,69,36,82,53,86,57,80,87,54,61,79,85,54,14,10,9,15,9,94,23,93,52,80,46,77,85,71,83,49,71,66,44,82,73,84
118,84,CM,69,33,78,60,80,55,82,83,67,80,79,82,85,13,14,6,12,8,74,60,65,83,85,66,89,82,86,86,75,78,80,76,91,85,68
119,83,CB,79,22,86,76,44,65,63,69,41,46,59,33,43,14,14,10,9,8,79,85,86,56,48,83,46,75,72,55,86,83,81,85,84,41,36
120,83,CB,68,22,89,57,24,51,56,60,47,36,47,37,44,9,11,7,10,15,79,85,90,58,48,85,38,76,68,72,87,72,70,86,83,27,30
121,83,CM,83,26,90,80,69,90,79,84,67,49,76,65,49,15,12,10,7,10,54,91,79,79,66,75,54,85,84,72,85,81,94,89,76,76,56
122,83,GK,54,24,26,58,12,50,15,30,12,19,15,15,20,85,79,75,82,86,12,21,68,23,17,16,24,77,32,24,17,48,42,13,73,58,16
123,83,CM,75,24,61,81,80,70,85,85,77,74,84,72,67,6,15,8,8,8,55,78,63,78,73,67,66,82,83,77,61,77,88,75,69,82,69
124,83,CM,72,23,81,68,77,64,83,78,61,82,84,68,68,12,9,6,14,8,69,76,58,84,73,65,55,82,85,80,64,66,77,77,85,83,63
125,83,CB,73,22,80,68,46,68,76,77,72,49,65,33,32,6,6,12,10,13,80,84,84,73,35,85,31,81,77,53,86,74,75,85,74,51,31
126,83,ST,83,30,68,78,87,75,80,80,60,72,80,88,58,12,12,8,5,8,76,34,77,50,70,12,79,82,72,78,14,83,74,16,76,66,82
127,83,CDM,52,24,75,45,64,54,78,87,58,66,79,55,50,6,6,5,14,14,72,84,68,86,63,77,60,74,83,63,71,53,84,85,88,77,57
128,83,RM,91,26,59,87,80,78,84,72,78,70,87,75,58,10,12,7,11,10,48,38,75,62,78,28,57,81,81,85,33,90,76,30,68,79,72
129,83,RM,94,22,34,90,81,91,84,74,72,64,86,73,49,15,12,12,15,9,38,26,60,67,70,48,63,79,81,68,54,92,75,58,64,76,59
130,83,CAM,77,23,48,82,79,75,85,78,78,78,87,75,72,11,13,5,13,8,65,36,76,72,81,25,63,81,83,84,26,77,69,35,67,80,84
131,83,ST,79,25,64,82,84,81,83,76,72,80,87,82,67,8,11,9,6,10,73,37,81,76,80,30,72,81,83,79,42,79,86,64,76,83,78
132,83,CB,74,27,89,73,59,63,71,69,75,67,69,52,57,7,8,12,15,10,85,80,86,73,63,79,64,79,72,79,83,74,81,83,83,57,49
133,83,CB,69,25,86,53,24,48,57,67,30,28,54,19,28,7,11,7,13,5,78,81,78,48,15,85,33,79,57,55,84,78,75,86,93,34,14
134,83,CDM,67,25,89,58,68,60,77,83,50,48,77,56,53,9,7,13,14,15,77,85,67,79,64,80,52,77,81,77,78,69,89,85,89,69,56
135,83,GK,45,23,41,50,15,31,22,20,19,12,20,13,15,80,82,83,82,84,14,22,64,32,17,11,21,80,35,22,12,51,31,13,67,55,14
136,83,CDM,59,25,87,66,66,57,77,73,52,59,69,59,74,13,14,16,12,12,74,84,87,82,75,79,66,78,80,86,85,62,85,86,82,72,53
137,83,LM,83,27,61,75,80,63,85,70,80,76,86,79,62,11,16,8,14,16,65,25,70,82,73,25,74,80,81,77,23,81,82,21,81,78,75
138,83,GK,60,26,35,65,17,62,21,55,19,15,15,18,14,86,79,80,77,87,16,25,85,31,18,13,16,85,32,20,13,64,33,15,65,52,13
139,83,GK,57,24,25,70,12,30,23,58,11,15,19,11,13,80,85,71,78,90,12,19,75,31,17,14,21,79,33,23,19,56,30,12,52,44,19
140,83,CB,67,25,81,58,51,50,71,80,54,63,68,36,22,11,15,10,7,10,88,84,65,77,48,85,42,81,77,66,78,77,75,84,80,72,50
141,83,RM,91,28,70,91,78,83,85,76,78,76,90,71,69,5,5,13,6,9,58,58,75,73,80,52,65,78,77,84,62,93,83,52,59,70,73
142,83,ST,86,29,63,88,85,77,84,69,69,83,85,84,76,12,16,9,12,13,78,36,68,67,82,20,74,86,80,79,18,80,72,21,59,68,86
143,83,GK,38,24,43,37,11,43,18,66,15,18,17,13,12,84,81,83,78,85,11,22,82,38,10,10,25,80,30,22,10,50,35,13,79,57,14
144,82,CM,73,24,48,86,82,84,90,85,77,80,88,74,73,14,7,12,6,10,49,66,62,79,66,16,65,84,85,68,23,68,60,43,67,82,87
145,83,CM,78,27,85,85,79,84,85,82,74,78,81,71,65,9,12,15,9,8,60,82,63,80,74,66,79,85,86,72,68,68,85,72,65,86,67
146,83,CM,72,27,65,85,78,58,87,75,77,83,88,73,69,14,9,6,10,12,63,69,49,83,76,49,75,83,87,78,51,75,68,59,64,86,78
147,83,CB,76,27,82,60,48,48,61,80,52,49,59,50,22,10,15,16,15,15,85,82,75,63,35,81,52,83,66,42,81,77,79,84,87,49,54
148,83,RW,86,29,56,84,84,82,85,72,78,81,84,81,57,5,11,12,15,9,55,49,67,70,73,30,66,83,83,71,31,80,80,32,56,74,70
149,83,CM,81,27,66,79,79,77,84,82,82,78,84,75,78,10,14,7,15,14,58,73,69,81,85,58,68,83,83,84,68,81,88,73,69,81,78
150,83,GK,44,26,35,51,10,52,23,58,15,13,16,8,12,83,82,73,80,85,17,18,74,24,14,14,20,80,37,22,16,52,36,13,74,50,13
151,83,CAM,78,25,31,86,81,80,84,79,70,77,82,75,77,12,10,15,12,12,54,34,66,80,77,37,68,81,83,76,47,77,76,50,36,83,63
152,83,CDM,56,28,87,43,70,31,82,85,59,73,72,64,42,7,16,16,16,13,79,85,69,78,66,75,57,82,82,79,78,62,86,83,90,77,55
153,83,CM,69,26,74,77,83,75,84,80,75,70,81,73,70,6,11,5,10,8,58,72,65,80,75,62,75,82,85,81,67,69,90,72,69,80,79
154,83,CB,75,26,81,73,50,59,73,70,55,53,43,48,45,5,11,12,6,12,81,85,83,70,53,85,57,81,78,57,86,70,72,84,81,64,36
155,83,CB,75,27,73,65,35,61,72,78,49,44,64,28,33,11,8,11,12,15,83,84,82,69,36,86,48,81,74,63,82,77,68,85,78,59,55
156,83,RW,89,30,54,85,88,81,84,79,77,65,82,76,65,8,5,14,11,11,65,40,73,51,80,24,62,80,75,78,32,90,92,32,56,78,84
157,83,CM,64,28,79,73,75,67,85,82,78,77,82,71,78,15,6,8,10,7,61,84,56,84,81,80,85,77,83,83,73,65,89,78,62,85,78
158,83,CB,79,27,76,75,64,73,77,66,79,66,70,46,58,13,9,10,6,5,73,85,75,74,60,87,66,88,80,68,87,79,88,88,74,68,54
159,83,CF,90,30,73,93,83,93,87,88,72,86,86,81,86,6,3,6,3,3,37,26,53,70,80,23,75,81,78,78,28,86,75,23,48,85,70
160,83,ST,75,28,83,68,85,61,78,79,62,66,73,86,56,10,11,11,6,8,86,26,84,55,72,25,77,84,70,81,19,79,68,31,86,62,87
161,83,ST,69,30,88,69,89,55,77,80,64,56,73,84,45,10,8,5,8,15,90,56,85,45,58,48,76,86,71,78,48,75,87,56,87,62,86
162,83,CM,76,28,74,83,77,76,86,80,74,77,85,79,66,6,15,14,8,11,67,68,73,78,72,60,70,78,86,72,62,74,89,68,67,83,72
163,83,ST,60,30,76,59,84,52,82,78,63,70,72,84,65,12,15,11,6,5,88,41,82,56,76,26,81,83,77,84,20,58,79,37,88,75,82
164,83,GK,53,29,39,61,13,54,23,53,12,10,20,12,16,85,81,80,79,82,11,22,79,30,11,13,32,80,31,38,11,57,45,13,77,63,17
165,83,GK,48,28,38,55,15,58,25,57,13,12,15,13,13,81,82,83,80,83,10,21,69,31,12,11,24,80,40,23,12,54,45,19,68,58,8
166,83,ST,72,32,61,82,86,67,88,83,70,85,84,86,77,12,11,7,8,5,81,34,69,71,84,23,83,83,75,80,25,70,73,36,61,83,85
167,83,ST,88,29,66,82,86,77,80,85,70,76,76,86,70,6,10,8,8,6,67,38,84,72,76,23,85,85,79,84,39,86,75,33,64,76,78
168,83,GK,58,33,40,64,15,64,15,60,12,25,13,13,60,82,84,87,77,82,18,23,81,31,21,11,23,77,32,22,19,54,44,18,70,71,11
169,83,RB,75,31,83,67,73,67,76,82,85,76,74,65,47,14,11,14,6,12,74,81,76,69,68,79,65,82,78,77,83,80,79,84,79,72,67
170,83,CB,69,29,83,62,63,55,74,82,68,58,70,60,73,6,10,9,12,7,82,83,80,74,68,81,68,81,78,86,81,66,79,85,81,65,52
171,83,GK,52,29,42,53,11,41,24,62,14,17,16,12,15,83,81,74,80,84,12,21,38,32,12,13,40,79,26,28,12,58,36,11,80,31,12
172,83,CB,67,34,73,53,53,42,68,84,45,52,60,57,76,14,10,14,8,14,93,84,43,70,82,82,60,82,73,92,85,73,62,86,83,59,60
173,83,ST,80,27,60,78,84,64,81,81,62,62,82,84,68,7,15,9,5,13,73,22,74,62,83,15,75,81,75,83,12,82,70,24,71,74,76
174,83,CB,55,33,84,62,40,56,64,62,36,33,59,40,32,7,11,16,10,6,77,85,73,54,29,84,43,85,63,29,82,54,69,85,83,55,34
