,Rating,Preferred,Acceleration,Age,Aggression,Agility,Balance,Ball_Control,Composure,Crossing,Curve,Dribbling,Finishing,Freekick_Accuracy,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,Heading,Interceptions,Jumping,Long_Pass,Long_Shots,Marking,Penalties,Attacking_Position,Reactions,Short_Pass,Shot_Power,Sliding_Tackle,Sprint,Stamina,Standing_Tackle,Strength,Vision,Volleys
11,90,LCM,64.0,28,60.0,70.0,71.0,90.0,85.0,88.0,86.0,81.0,76.0,84.0,10.0,11.0,13.0,7.0,10.0,54.0,82.0,30.0,93.0,92.0,72.0,73.0,79.0,89.0,92.0,87.0,69.0,62.0,75.0,79.0,73.0,86.0,82.0
12,90,CB,68.0,32,89.0,58.0,54.0,76.0,82.0,55.0,49.0,53.0,42.0,51.0,6.0,8.0,15.0,5.0,15.0,92.0,88.0,91.0,70.0,43.0,90.0,50.0,48.0,85.0,79.0,67.0,89.0,68.0,66.0,89.0,88.0,52.0,47.0
13,90,LCM,70.0,32,57.0,92.0,90.0,94.0,93.0,84.0,82.0,89.0,76.0,77.0,6.0,15.0,7.0,6.0,12.0,54.0,50.0,64.0,87.0,75.0,59.0,75.0,89.0,90.0,93.0,72.0,29.0,64.0,78.0,53.0,52.0,92.0,82.0
14,89,LDM,82.0,27,90.0,82.0,92.0,80.0,85.0,68.0,49.0,79.0,65.0,49.0,15.0,12.0,10.0,7.0,10.0,54.0,92.0,77.0,81.0,69.0,90.0,54.0,71.0,93.0,86.0,71.0,85.0,78.0,96.0,91.0,76.0,79.0,56.0
15,89,LF,87.0,24,48.0,91.0,85.0,92.0,84.0,82.0,88.0,92.0,84.0,88.0,5.0,4.0,4.0,5.0,8.0,68.0,32.0,75.0,75.0,88.0,23.0,86.0,84.0,86.0,87.0,82.0,20.0,83.0,80.0,20.0,65.0,87.0,88.0
16,89,ST,68.0,24,76.0,71.0,71.0,84.0,89.0,75.0,78.0,80.0,94.0,68.0,8.0,10.0,11.0,14.0,11.0,85.0,35.0,78.0,82.0,85.0,56.0,90.0,93.0,91.0,80.0,88.0,38.0,72.0,89.0,36.0,84.0,80.0,84.0
17,89,CAM,88.0,27,69.0,90.0,80.0,90.0,87.0,82.0,84.0,88.0,90.0,78.0,14.0,8.0,14.0,13.0,14.0,84.0,35.0,90.0,76.0,82.0,59.0,79.0,91.0,90.0,83.0,80.0,48.0,85.0,83.0,47.0,62.0,83.0,87.0
18,89,GK,38.0,26,43.0,37.0,43.0,18.0,69.0,15.0,18.0,17.0,14.0,12.0,87.0,85.0,88.0,85.0,90.0,11.0,22.0,79.0,42.0,10.0,25.0,25.0,11.0,85.0,36.0,22.0,10.0,50.0,35.0,13.0,79.0,69.0,14.0
19,89,GK,46.0,26,23.0,61.0,45.0,23.0,66.0,14.0,19.0,13.0,14.0,20.0,85.0,91.0,72.0,86.0,88.0,13.0,15.0,68.0,35.0,17.0,20.0,27.0,13.0,84.0,33.0,36.0,16.0,52.0,38.0,18.0,70.0,44.0,12.0
20,89,CDM,50.0,29,85.0,66.0,52.0,88.0,90.0,62.0,66.0,80.0,67.0,68.0,5.0,8.0,13.0,9.0,13.0,68.0,87.0,66.0,82.0,54.0,90.0,60.0,77.0,87.0,89.0,61.0,80.0,52.0,86.0,86.0,77.0,87.0,44.0
21,89,LS,75.0,31,84.0,77.0,59.0,82.0,82.0,70.0,77.0,80.0,89.0,76.0,12.0,5.0,13.0,13.0,10.0,89.0,48.0,88.0,52.0,79.0,52.0,85.0,93.0,91.0,78.0,87.0,39.0,76.0,92.0,45.0,78.0,77.0,90.0
22,89,GK,54.0,32,29.0,51.0,35.0,48.0,70.0,15.0,14.0,30.0,13.0,11.0,90.0,86.0,91.0,87.0,87.0,25.0,30.0,77.0,59.0,16.0,17.0,47.0,12.0,84.0,55.0,25.0,11.0,60.0,43.0,10.0,80.0,70.0,11.0
23,89,ST,88.0,30,65.0,86.0,91.0,89.0,90.0,70.0,82.0,89.0,93.0,73.0,13.0,15.0,6.0,11.0,14.0,77.0,24.0,81.0,64.0,83.0,30.0,83.0,92.0,90.0,81.0,88.0,12.0,80.0,76.0,20.0,73.0,83.0,85.0
24,89,LCB,63.0,33,92.0,54.0,55.0,57.0,84.0,58.0,60.0,58.0,33.0,31.0,3.0,3.0,2.0,4.0,3.0,83.0,88.0,89.0,59.0,49.0,93.0,50.0,28.0,82.0,59.0,78.0,90.0,75.0,65.0,93.0,89.0,50.0,45.0
25,88,RM,96.0,19,62.0,92.0,83.0,91.0,86.0,77.0,77.0,90.0,88.0,63.0,13.0,5.0,7.0,11.0,6.0,77.0,38.0,75.0,73.0,78.0,34.0,70.0,88.0,87.0,82.0,79.0,32.0,96.0,83.0,34.0,71.0,82.0,78.0
26,88,RM,94.0,26,63.0,91.0,88.0,88.0,91.0,78.0,83.0,89.0,90.0,60.0,14.0,14.0,9.0,11.0,14.0,59.0,55.0,68.0,72.0,83.0,38.0,61.0,90.0,91.0,82.0,77.0,41.0,91.0,84.0,43.0,70.0,82.0,73.0
27,88,CDM,59.0,26,87.0,62.0,66.0,78.0,84.0,52.0,59.0,69.0,59.0,74.0,13.0,14.0,16.0,12.0,12.0,76.0,87.0,88.0,82.0,79.0,88.0,66.0,69.0,84.0,85.0,86.0,87.0,65.0,87.0,90.0,89.0,77.0,53.0
28,88,LAM,73.0,26,64.0,83.0,76.0,90.0,87.0,90.0,89.0,85.0,83.0,86.0,15.0,15.0,15.0,5.0,14.0,62.0,55.0,54.0,83.0,92.0,52.0,81.0,80.0,85.0,89.0,86.0,44.0,67.0,70.0,41.0,68.0,89.0,90.0
29,88,LW,94.0,27,34.0,94.0,93.0,93.0,83.0,86.0,87.0,90.0,77.0,77.0,8.0,4.0,14.0,9.0,10.0,56.0,26.0,53.0,78.0,84.0,51.0,61.0,83.0,83.0,85.0,75.0,22.0,86.0,75.0,24.0,44.0,87.0,74.0
30,88,LW,75.0,26,58.0,87.0,90.0,95.0,86.0,75.0,88.0,94.0,79.0,76.0,10.0,8.0,12.0,15.0,6.0,55.0,64.0,64.0,83.0,87.0,60.0,76.0,78.0,77.0,89.0,69.0,51.0,69.0,70.0,64.0,59.0,89.0,65.0
31,88,CAM,75.0,26,46.0,79.0,81.0,91.0,88.0,88.0,86.0,84.0,80.0,87.0,9.0,14.0,7.0,7.0,6.0,52.0,56.0,50.0,88.0,89.0,59.0,67.0,83.0,88.0,91.0,84.0,22.0,73.0,92.0,57.0,58.0,91.0,77.0
32,88,LW,89.0,26,59.0,92.0,93.0,92.0,85.0,79.0,91.0,91.0,79.0,86.0,12.0,7.0,9.0,14.0,6.0,48.0,49.0,59.0,83.0,93.0,55.0,70.0,84.0,83.0,88.0,83.0,47.0,75.0,79.0,54.0,61.0,90.0,75.0
33,88,LM,93.0,29,43.0,76.0,70.0,82.0,86.0,77.0,80.0,79.0,88.0,74.0,6.0,9.0,15.0,9.0,9.0,79.0,48.0,79.0,64.0,79.0,27.0,76.0,90.0,87.0,77.0,82.0,36.0,95.0,76.0,25.0,76.0,77.0,86.0
34,88,LCB,53.0,29,69.0,63.0,60.0,81.0,91.0,64.0,65.0,68.0,55.0,53.0,15.0,6.0,10.0,5.0,6.0,87.0,92.0,68.0,85.0,51.0,88.0,68.0,56.0,87.0,81.0,71.0,88.0,64.0,66.0,90.0,84.0,79.0,60.0
35,88,LB,83.0,30,84.0,86.0,86.0,92.0,86.0,90.0,85.0,90.0,70.0,67.0,12.0,5.0,5.0,5.0,9.0,75.0,85.0,76.0,76.0,70.0,71.0,59.0,85.0,88.0,84.0,83.0,86.0,82.0,91.0,85.0,78.0,82.0,54.0
36,88,ST,94.0,28,65.0,82.0,65.0,85.0,86.0,87.0,90.0,87.0,86.0,87.0,15.0,15.0,11.0,5.0,6.0,84.0,59.0,87.0,80.0,91.0,54.0,76.0,85.0,85.0,85.0,92.0,52.0,95.0,75.0,55.0,80.0,79.0,85.0
37,88,GK,65.0,31,31.0,55.0,54.0,34.0,65.0,13.0,11.0,10.0,10.0,10.0,88.0,84.0,68.0,83.0,92.0,10.0,27.0,74.0,50.0,14.0,29.0,40.0,10.0,85.0,50.0,23.0,18.0,62.0,41.0,10.0,43.0,30.0,11.0
38,88,LS,73.0,30,50.0,75.0,69.0,85.0,86.0,68.0,74.0,84.0,92.0,62.0,5.0,12.0,7.0,5.0,10.0,80.0,20.0,79.0,59.0,80.0,35.0,70.0,92.0,86.0,75.0,86.0,18.0,73.0,70.0,22.0,85.0,74.0,90.0
39,88,RCB,70.0,33,76.0,68.0,68.0,80.0,81.0,60.0,61.0,62.0,38.0,64.0,9.0,12.0,5.0,9.0,10.0,81.0,89.0,90.0,80.0,68.0,88.0,60.0,59.0,82.0,80.0,71.0,85.0,72.0,74.0,89.0,82.0,72.0,63.0
40,88,GK,51.0,33,25.0,47.0,36.0,16.0,69.0,12.0,12.0,12.0,10.0,14.0,87.0,86.0,69.0,89.0,89.0,10.0,22.0,78.0,34.0,19.0,25.0,23.0,12.0,83.0,36.0,22.0,13.0,55.0,41.0,10.0,71.0,41.0,12.0
41,88,GK,49.0,40,38.0,55.0,49.0,28.0,70.0,13.0,20.0,26.0,15.0,13.0,88.0,87.0,74.0,90.0,83.0,13.0,28.0,75.0,35.0,13.0,13.0,22.0,12.0,79.0,37.0,39.0,11.0,43.0,39.0,11.0,69.0,50.0,17.0
42,87,CB,71.0,24,81.0,68.0,66.0,77.0,82.0,69.0,72.0,69.0,51.0,62.0,15.0,10.0,14.0,12.0,15.0,79.0,87.0,89.0,73.0,74.0,90.0,61.0,58.0,82.0,81.0,83.0,86.0,73.0,78.0,89.0,84.0,58.0,70.0
43,87,ST,77.0,25,56.0,76.0,76.0,81.0,85.0,46.0,58.0,77.0,91.0,45.0,13.0,9.0,5.0,7.0,9.0,91.0,22.0,94.0,54.0,70.0,45.0,82.0,92.0,88.0,73.0,84.0,20.0,78.0,72.0,24.0,76.0,64.0,85.0
44,87,LCB,68.0,27,87.0,50.0,40.0,60.0,78.0,30.0,28.0,66.0,19.0,28.0,7.0,11.0,7.0,13.0,5.0,81.0,88.0,81.0,56.0,15.0,91.0,33.0,24.0,80.0,66.0,55.0,86.0,75.0,71.0,88.0,94.0,43.0,14.0
45,87,RDM,71.0,25,78.0,74.0,64.0,90.0,87.0,80.0,84.0,87.0,73.0,82.0,5.0,6.0,2.0,4.0,3.0,73.0,66.0,83.0,90.0,81.0,66.0,81.0,81.0,81.0,86.0,90.0,68.0,79.0,88.0,70.0,89.0,87.0,85.0
46,87,GK,54.0,31,32.0,60.0,61.0,19.0,67.0,11.0,11.0,16.0,15.0,15.0,90.0,81.0,75.0,82.0,90.0,11.0,20.0,74.0,37.0,13.0,28.0,25.0,16.0,84.0,30.0,21.0,14.0,53.0,39.0,14.0,75.0,68.0,11.0
47,87,ST,77.0,25,75.0,60.0,46.0,72.0,83.0,78.0,74.0,80.0,87.0,66.0,8.0,15.0,14.0,7.0,10.0,86.0,27.0,71.0,73.0,74.0,30.0,78.0,89.0,86.0,77.0,88.0,30.0,90.0,84.0,30.0,94.0,76.0,79.0
48,87,ST,78.0,28,77.0,77.0,63.0,83.0,81.0,55.0,70.0,83.0,90.0,51.0,6.0,8.0,15.0,12.0,6.0,81.0,40.0,77.0,49.0,80.0,34.0,78.0,91.0,87.0,74.0,86.0,32.0,85.0,80.0,33.0,76.0,65.0,87.0
49,87,LB,93.0,29,75.0,90.0,85.0,84.0,79.0,87.0,80.0,80.0,73.0,63.0,13.0,15.0,13.0,6.0,13.0,70.0,84.0,81.0,74.0,66.0,72.0,59.0,79.0,83.0,84.0,64.0,85.0,93.0,91.0,84.0,61.0,70.0,60.0
50,87,RF,93.0,31,59.0,94.0,92.0,89.0,81.0,77.0,82.0,91.0,86.0,79.0,7.0,10.0,8.0,10.0,4.0,35.0,36.0,60.0,74.0,81.0,25.0,79.0,87.0,88.0,82.0,80.0,40.0,85.0,75.0,40.0,42.0,83.0,70.0
51,87,LCB,61.0,31,84.0,61.0,60.0,76.0,83.0,68.0,58.0,71.0,56.0,73.0,6.0,10.0,9.0,12.0,7.0,80.0,89.0,85.0,74.0,66.0,90.0,66.0,60.0,84.0,79.0,80.0,88.0,65.0,75.0,87.0,79.0,68.0,52.0
52,87,LCM,69.0,30,56.0,76.0,66.0,87.0,84.0,78.0,80.0,86.0,79.0,72.0,8.0,6.0,4.0,14.0,14.0,74.0,72.0,71.0,83.0,83.0,75.0,70.0,88.0,88.0,88.0,82.0,62.0,68.0,84.0,73.0,67.0,86.0,79.0
53,87,RCM,66.0,30,67.0,72.0,66.0,87.0,81.0,84.0,88.0,84.0,83.0,84.0,14.0,11.0,12.0,5.0,9.0,58.0,75.0,39.0,90.0,90.0,72.0,82.0,79.0,77.0,87.0,84.0,70.0,59.0,84.0,74.0,66.0,86.0,80.0
54,87,RCB,49.0,31,72.0,58.0,36.0,78.0,86.0,57.0,58.0,59.0,64.0,43.0,10.0,11.0,14.0,15.0,8.0,83.0,88.0,74.0,80.0,51.0,91.0,69.0,58.0,84.0,81.0,62.0,84.0,60.0,65.0,86.0,83.0,62.0,57.0
55,86,LW,93.0,22,61.0,88.0,81.0,85.0,78.0,83.0,82.0,88.0,81.0,68.0,8.0,12.0,9.0,9.0,14.0,72.0,34.0,64.0,64.0,78.0,36.0,71.0,84.0,81.0,79.0,86.0,35.0,96.0,79.0,32.0,70.0,82.0,85.0
56,86,RW,84.0,23,58.0,90.0,88.0,91.0,85.0,85.0,83.0,92.0,75.0,67.0,9.0,10.0,14.0,12.0,9.0,51.0,49.0,50.0,79.0,72.0,49.0,68.0,83.0,82.0,85.0,70.0,35.0,74.0,78.0,44.0,48.0,86.0,69.0
57,86,GK,64.0,24,35.0,60.0,48.0,37.0,70.0,20.0,15.0,23.0,14.0,20.0,85.0,80.0,91.0,82.0,87.0,14.0,25.0,58.0,58.0,18.0,28.0,17.0,20.0,86.0,56.0,42.0,8.0,63.0,41.0,15.0,68.0,67.0,18.0
58,86,LM,95.0,26,73.0,91.0,86.0,86.0,80.0,73.0,74.0,87.0,84.0,64.0,10.0,10.0,15.0,7.0,14.0,62.0,35.0,75.0,71.0,74.0,42.0,71.0,87.0,86.0,79.0,82.0,38.0,93.0,84.0,42.0,67.0,82.0,71.0
59,86,LCB,74.0,26,81.0,61.0,49.0,73.0,83.0,53.0,60.0,70.0,52.0,70.0,13.0,10.0,13.0,11.0,11.0,82.0,86.0,85.0,78.0,64.0,88.0,62.0,41.0,85.0,76.0,81.0,84.0,77.0,71.0,89.0,92.0,59.0,45.0
60,86,RW,95.0,23,38.0,93.0,93.0,87.0,77.0,77.0,70.0,88.0,77.0,63.0,15.0,12.0,12.0,15.0,9.0,38.0,30.0,57.0,69.0,73.0,47.0,69.0,87.0,87.0,84.0,73.0,54.0,92.0,78.0,58.0,52.0,77.0,67.0
61,86,CAM,78.0,26,73.0,80.0,81.0,88.0,87.0,72.0,80.0,87.0,87.0,65.0,8.0,11.0,9.0,6.0,10.0,77.0,58.0,81.0,75.0,76.0,60.0,72.0,87.0,86.0,86.0,81.0,42.0,77.0,90.0,64.0,74.0,85.0,81.0
62,86,RCB,83.0,25,77.0,63.0,40.0,77.0,82.0,36.0,46.0,57.0,40.0,54.0,11.0,11.0,9.0,5.0,14.0,83.0,82.0,79.0,76.0,53.0,87.0,43.0,44.0,83.0,75.0,52.0,87.0,85.0,73.0,88.0,84.0,56.0,42.0
63,86,LCM,69.0,25,89.0,87.0,94.0,88.0,93.0,72.0,73.0,90.0,60.0,64.0,12.0,12.0,15.0,15.0,10.0,55.0,84.0,64.0,89.0,58.0,78.0,64.0,71.0,85.0,90.0,56.0,80.0,62.0,77.0,83.0,52.0,87.0,64.0
64,86,LB,83.0,27,82.0,79.0,78.0,81.0,82.0,84.0,78.0,80.0,55.0,59.0,7.0,7.0,9.0,12.0,5.0,76.0,82.0,79.0,71.0,72.0,81.0,60.0,70.0,84.0,81.0,80.0,84.0,86.0,92.0,84.0,79.0,70.0,68.0
65,86,LM,97.0,27,55.0,93.0,91.0,91.0,84.0,84.0,84.0,92.0,67.0,78.0,13.0,15.0,9.0,12.0,5.0,50.0,48.0,61.0,68.0,80.0,45.0,77.0,76.0,84.0,84.0,86.0,34.0,93.0,78.0,38.0,63.0,84.0,76.0
66,86,CAM,73.0,28,57.0,75.0,72.0,82.0,83.0,79.0,81.0,75.0,87.0,59.0,6.0,7.0,11.0,14.0,14.0,82.0,58.0,81.0,72.0,80.0,44.0,60.0,92.0,91.0,83.0,78.0,44.0,75.0,87.0,41.0,68.0,85.0,84.0
67,86,CM,78.0,27,57.0,90.0,86.0,90.0,85.0,72.0,85.0,90.0,69.0,77.0,6.0,11.0,7.0,9.0,13.0,54.0,78.0,75.0,87.0,79.0,67.0,75.0,79.0,84.0,90.0,75.0,65.0,69.0,75.0,63.0,59.0,86.0,90.0
68,86,LM,86.0,29,49.0,86.0,81.0,86.0,84.0,79.0,89.0,87.0,87.0,84.0,12.0,12.0,13.0,13.0,11.0,49.0,50.0,70.0,75.0,86.0,47.0,89.0,88.0,87.0,86.0,88.0,45.0,85.0,73.0,36.0,67.0,86.0,90.0
69,86,RB,76.0,28,82.0,72.0,73.0,77.0,78.0,81.0,68.0,69.0,46.0,58.0,13.0,9.0,10.0,6.0,5.0,76.0,89.0,76.0,80.0,60.0,88.0,66.0,62.0,88.0,81.0,68.0,86.0,76.0,87.0,90.0,71.0,74.0,51.0
70,86,RCB,57.0,31,82.0,60.0,52.0,75.0,86.0,44.0,56.0,69.0,48.0,61.0,2.0,2.0,3.0,2.0,4.0,86.0,90.0,85.0,85.0,65.0,90.0,70.0,38.0,84.0,77.0,74.0,80.0,65.0,71.0,86.0,83.0,74.0,58.0
71,86,RCB,61.0,29,80.0,60.0,50.0,74.0,81.0,64.0,63.0,62.0,45.0,69.0,16.0,6.0,14.0,16.0,14.0,82.0,87.0,84.0,85.0,65.0,90.0,58.0,58.0,86.0,79.0,78.0,86.0,66.0,74.0,91.0,79.0,67.0,38.0
72,86,CDM,66.0,28,70.0,77.0,79.0,89.0,86.0,80.0,86.0,86.0,60.0,92.0,7.0,7.0,13.0,7.0,8.0,60.0,78.0,61.0,85.0,82.0,75.0,79.0,70.0,84.0,89.0,78.0,70.0,66.0,78.0,74.0,66.0,88.0,72.0
73,86,CB,65.0,31,86.0,59.0,53.0,64.0,82.0,45.0,34.0,64.0,47.0,27.0,7.0,4.0,8.0,7.0,11.0,83.0,86.0,85.0,65.0,24.0,89.0,41.0,38.0,82.0,65.0,66.0,85.0,75.0,69.0,87.0,91.0,47.0,44.0
74,86,CAM,72.0,29,48.0,79.0,70.0,90.0,82.0,83.0,84.0,84.0,73.0,77.0,6.0,14.0,10.0,6.0,14.0,54.0,24.0,48.0,82.0,75.0,24.0,67.0,83.0,84.0,89.0,70.0,19.0,69.0,69.0,16.0,57.0,91.0,80.0
75,86,CDM,68.0,33,87.0,72.0,78.0,82.0,79.0,68.0,70.0,77.0,69.0,72.0,12.0,11.0,5.0,13.0,7.0,63.0,88.0,76.0,81.0,78.0,85.0,61.0,70.0,86.0,85.0,83.0,80.0,67.0,79.0,85.0,76.0,75.0,74.0
76,86,LF,70.0,34,58.0,79.0,84.0,92.0,89.0,77.0,80.0,90.0,70.0,70.0,6.0,13.0,6.0,13.0,7.0,54.0,66.0,47.0,85.0,71.0,67.0,71.0,81.0,86.0,90.0,65.0,56.0,67.0,55.0,57.0,58.0,93.0,74.0
77,85,LCB,70.0,23,86.0,48.0,48.0,67.0,80.0,40.0,34.0,59.0,42.0,30.0,10.0,13.0,12.0,8.0,12.0,80.0,86.0,78.0,68.0,30.0,92.0,56.0,30.0,81.0,70.0,50.0,82.0,73.0,77.0,88.0,83.0,57.0,40.0
78,85,CM,68.0,23,73.0,66.0,59.0,87.0,82.0,64.0,78.0,86.0,80.0,75.0,7.0,10.0,7.0,16.0,7.0,86.0,78.0,85.0,85.0,80.0,75.0,56.0,79.0,80.0,85.0,83.0,72.0,70.0,85.0,77.0,88.0,85.0,74.0
79,85,RW,85.0,22,45.0,79.0,76.0,85.0,83.0,82.0,83.0,86.0,82.0,76.0,13.0,9.0,6.0,12.0,10.0,50.0,45.0,58.0,82.0,88.0,40.0,62.0,82.0,82.0,83.0,86.0,39.0,82.0,76.0,42.0,61.0,84.0,79.0
80,85,CAM,79.0,24,73.0,90.0,91.0,89.0,89.0,83.0,81.0,90.0,82.0,79.0,15.0,9.0,8.0,14.0,15.0,49.0,28.0,69.0,75.0,82.0,31.0,81.0,81.0,80.0,83.0,84.0,25.0,79.0,80.0,37.0,82.0,81.0,77.0
81,85,GK,54.0,25,27.0,40.0,37.0,30.0,65.0,17.0,19.0,27.0,13.0,18.0,83.0,81.0,85.0,84.0,88.0,19.0,11.0,52.0,44.0,14.0,15.0,23.0,13.0,84.0,45.0,21.0,16.0,45.0,32.0,19.0,78.0,66.0,20.0
82,85,RCM,78.0,23,74.0,84.0,83.0,85.0,82.0,90.0,81.0,80.0,66.0,61.0,8.0,15.0,7.0,15.0,15.0,74.0,79.0,79.0,80.0,69.0,75.0,44.0,80.0,85.0,85.0,75.0,79.0,68.0,85.0,81.0,65.0,79.0,61.0
83,85,RCM,74.0,23,69.0,76.0,69.0,85.0,83.0,69.0,72.0,83.0,78.0,60.0,7.0,13.0,12.0,10.0,9.0,83.0,78.0,79.0,83.0,79.0,77.0,55.0,82.0,82.0,85.0,78.0,76.0,73.0,86.0,79.0,77.0,82.0,76.0
84,85,RW,88.0,27,48.0,93.0,88.0,90.0,86.0,81.0,84.0,91.0,80.0,78.0,15.0,9.0,13.0,11.0,6.0,48.0,39.0,61.0,76.0,81.0,45.0,73.0,80.0,77.0,82.0,79.0,18.0,83.0,76.0,31.0,54.0,81.0,72.0
85,85,LB,79.0,26,69.0,79.0,77.0,83.0,79.0,81.0,78.0,79.0,63.0,84.0,5.0,7.0,14.0,15.0,9.0,75.0,84.0,82.0,80.0,82.0,80.0,80.0,76.0,84.0,82.0,83.0,80.0,86.0,87.0,82.0,71.0,77.0,68.0
86,85,LM,71.0,26,71.0,74.0,78.0,86.0,78.0,86.0,85.0,82.0,72.0,76.0,14.0,12.0,5.0,10.0,13.0,61.0,66.0,61.0,89.0,81.0,80.0,59.0,84.0,85.0,90.0,84.0,51.0,68.0,90.0,69.0,79.0,87.0,56.0
87,85,ST,81.0,27,70.0,85.0,85.0,83.0,85.0,64.0,74.0,85.0,88.0,71.0,11.0,6.0,9.0,5.0,6.0,73.0,42.0,76.0,59.0,75.0,29.0,84.0,86.0,85.0,80.0,83.0,30.0,84.0,79.0,42.0,73.0,76.0,81.0
88,85,LCB,80.0,27,86.0,68.0,59.0,65.0,79.0,27.0,30.0,54.0,10.0,10.0,8.0,6.0,8.0,15.0,12.0,80.0,86.0,86.0,61.0,12.0,86.0,26.0,25.0,85.0,60.0,40.0,89.0,85.0,76.0,87.0,82.0,22.0,16.0
89,85,CB,57.0,30,91.0,64.0,62.0,70.0,80.0,52.0,50.0,51.0,54.0,39.0,12.0,5.0,8.0,11.0,12.0,85.0,84.0,92.0,72.0,56.0,83.0,45.0,51.0,79.0,75.0,69.0,84.0,61.0,67.0,85.0,80.0,53.0,57.0
90,85,RCM,51.0,29,58.0,66.0,72.0,84.0,78.0,84.0,89.0,78.0,79.0,90.0,5.0,9.0,12.0,14.0,8.0,61.0,81.0,51.0,87.0,82.0,69.0,83.0,81.0,78.0,90.0,78.0,60.0,43.0,78.0,68.0,72.0,86.0,72.0
91,85,LDM,73.0,29,81.0,69.0,66.0,84.0,80.0,64.0,66.0,82.0,81.0,72.0,16.0,16.0,11.0,6.0,8.0,85.0,81.0,90.0,80.0,80.0,75.0,71.0,84.0,84.0,84.0,83.0,73.0,73.0,92.0,81.0,81.0,78.0,75.0
92,85,GK,51.0,28,40.0,55.0,51.0,22.0,65.0,12.0,16.0,11.0,12.0,14.0,85.0,81.0,71.0,85.0,87.0,16.0,15.0,71.0,36.0,14.0,20.0,18.0,14.0,82.0,32.0,15.0,12.0,47.0,45.0,13.0,65.0,48.0,14.0
