Acceleration,Age,Aggression,Agility,Attacking_Position,Balance,Ball_Control,Composure,Crossing,Curve,Dribbling,Finishing,Freekick_Accuracy,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,Heading,Interceptions,Jumping,Long_Pass,Long_Shots,Marking,Penalties,Preferred,Rating,Reactions,Short_Pass,Shot_Power,Sliding_Tackle,Sprint,Stamina,Standing_Tackle,Strength,Vision,Volleys
75,28,83,68,85,61,78,79,0,66,73,86,0,0,0,0,0,0,86,0,84,0,72,0,77,0,83,84,70,81,0,79,68,0,86,62,87
69,30,88,69,89,55,77,80,0,56,73,84,0,0,0,0,0,0,90,0,85,0,58,0,76,0,83,86,71,78,0,75,87,0,87,62,86
60,30,76,59,84,52,82,78,0,70,72,84,0,0,0,0,0,0,88,0,82,0,76,0,81,0,83,83,77,84,0,58,79,0,88,75,82
72,32,61,82,86,67,88,83,0,85,84,86,0,0,0,0,0,0,81,0,69,0,84,0,83,0,83,83,75,80,0,70,73,0,61,83,85
88,29,66,82,86,77,80,85,0,76,76,86,0,0,0,0,0,0,67,0,84,0,76,0,85,0,83,85,79,84,0,86,75,0,64,76,78
80,27,60,78,84,64,81,81,0,62,82,84,0,0,0,0,0,0,73,0,74,0,83,0,75,0,83,81,75,83,0,82,70,0,71,74,76
77,32,66,84,82,83,83,79,0,80,87,81,0,0,0,0,0,0,63,0,71,0,78,0,72,1,82,84,84,77,0,72,76,0,63,83,75
69,28,88,66,86,57,76,79,0,73,74,81,0,0,0,0,0,0,92,0,87,0,72,0,72,0,82,84,73,78,0,76,91,0,85,72,79
80,24,54,62,83,56,83,78,0,76,82,81,0,0,0,0,0,0,75,0,79,0,74,0,72,0,82,80,74,78,0,86,68,0,82,76,80
79,27,77,77,86,63,79,81,0,70,77,86,0,0,0,0,0,0,75,0,78,0,76,0,76,0,82,85,70,86,0,85,73,0,76,59,81
68,31,51,58,87,42,79,76,0,65,75,86,0,0,0,0,0,0,80,0,66,0,69,0,70,0,82,78,72,86,0,65,72,0,82,70,75
86,28,59,81,88,84,79,81,0,67,76,87,0,0,0,0,0,0,82,0,85,0,69,0,76,0,82,82,70,76,0,79,75,0,58,72,79
75,31,72,85,85,75,81,85,0,83,74,83,0,0,0,0,0,0,90,0,92,0,76,0,84,0,82,82,67,78,0,68,68,0,73,68,84
68,31,72,64,84,55,75,85,0,68,74,84,0,0,0,0,0,0,83,0,76,0,78,0,74,0,82,80,69,82,0,75,69,0,86,62,78
75,35,67,76,86,75,85,83,0,83,82,86,0,0,0,0,0,0,66,0,67,0,76,0,88,0,82,82,74,80,0,72,73,0,66,71,78
87,27,53,89,80,90,84,78,0,73,83,79,0,0,0,0,0,0,61,0,65,0,79,0,70,1,81,80,73,80,0,86,68,0,45,70,79
80,23,79,79,85,75,76,75,0,64,76,86,0,0,0,0,0,0,81,0,83,0,67,0,77,0,81,78,68,81,0,82,84,0,85,61,80
86,26,55,91,83,86,83,82,0,80,85,84,0,0,0,0,0,0,74,0,85,0,69,0,74,0,81,80,77,78,0,84,77,0,57,76,76
78,28,69,74,81,75,82,76,0,83,81,85,0,0,0,0,0,0,68,0,65,0,82,0,79,0,81,81,77,83,0,78,74,0,73,76,79
87,25,62,81,82,69,82,73,0,68,80,81,0,0,0,0,0,0,71,0,78,0,68,0,72,0,81,81,75,84,0,88,74,0,80,73,78
69,28,70,67,83,72,76,83,0,66,74,83,0,0,0,0,0,0,84,0,86,0,80,0,77,0,81,81,68,85,0,75,78,0,94,65,76
76,27,72,72,82,48,78,75,0,53,75,81,0,0,0,0,0,0,88,0,72,0,70,0,62,0,81,73,69,86,0,77,68,0,91,53,75
54,27,72,37,87,35,70,78,0,51,60,86,0,0,0,0,0,0,92,0,55,0,74,0,77,0,81,84,70,85,0,66,84,0,87,60,84
76,26,70,69,76,50,85,64,0,78,81,83,0,0,0,0,0,0,66,0,75,0,74,0,92,0,81,62,72,86,0,78,60,0,85,70,74
69,29,70,69,90,58,79,78,0,64,74,85,0,0,0,0,0,0,80,0,68,0,68,0,70,0,81,85,72,78,0,78,79,0,78,66,80
75,26,65,74,76,48,80,78,0,60,72,79,0,0,0,0,0,0,86,0,82,0,76,0,77,0,81,71,72,85,0,79,77,0,90,73,74
87,30,57,77,81,65,76,76,0,66,75,80,0,0,0,0,0,0,80,0,89,0,77,0,78,0,81,77,75,78,0,86,73,0,74,71,71
75,31,80,66,81,60,77,80,0,77,75,82,0,0,0,0,0,0,80,0,70,0,80,0,78,0,81,76,73,84,0,72,72,0,88,72,80
79,31,70,69,79,72,78,79,0,80,78,82,0,0,0,0,0,0,65,0,65,0,81,0,83,0,81,76,77,92,0,77,67,0,77,78,89
64,31,78,67,80,57,79,67,0,68,72,81,0,0,0,0,0,0,83,0,79,0,77,0,80,0,81,76,75,85,0,65,65,0,88,64,81
80,35,50,87,86,77,81,70,0,72,83,84,0,0,0,0,0,0,73,0,76,0,78,0,76,0,81,87,69,77,0,77,75,0,61,74,72
78,34,63,83,87,88,77,84,0,63,78,87,0,0,0,0,0,0,68,0,74,0,81,0,71,0,81,80,68,88,0,77,73,0,62,67,83
76,33,62,74,82,54,81,69,0,80,82,77,0,0,0,0,0,0,76,0,75,0,73,0,74,0,81,73,78,83,0,78,63,0,76,76,81
64,39,80,63,81,56,80,80,0,78,74,82,0,0,0,0,0,0,85,0,76,0,79,0,84,0,81,80,60,85,0,64,62,0,86,76,76
73,36,75,79,83,74,80,84,0,78,80,84,0,0,0,0,0,0,73,0,85,0,75,0,85,0,81,79,76,85,0,75,68,0,70,75,80
94,30,92,77,83,79,76,78,0,59,75,83,0,0,0,0,0,0,64,0,70,0,68,0,76,0,81,83,66,85,0,92,90,0,69,72,75
86,24,62,91,80,81,80,78,0,80,85,79,0,0,0,0,0,0,38,0,64,0,78,0,73,1,80,80,79,78,0,77,77,0,59,81,77
69,29,58,70,78,56,87,78,0,77,83,78,0,0,0,0,0,0,58,0,34,0,86,0,78,1,80,78,82,86,0,75,69,0,68,82,80
85,28,51,80,78,79,87,76,0,72,86,66,0,0,0,0,0,0,57,0,64,0,75,0,82,1,80,80,82,73,0,79,76,0,55,84,60
74,29,63,76,83,76,83,78,0,75,81,79,0,0,0,0,0,0,54,0,66,0,78,0,86,1,80,81,83,79,0,71,79,0,69,82,79
43,40,69,59,80,60,91,85,0,75,82,81,0,0,0,0,0,0,42,0,34,0,86,0,86,1,80,79,90,88,0,34,54,0,75,91,90
81,23,59,84,83,78,77,81,0,61,78,83,0,0,0,0,0,0,73,0,81,0,76,0,67,0,80,79,64,83,0,84,65,0,82,63,74
79,24,38,78,85,67,82,60,0,70,80,80,0,0,0,0,0,0,79,0,70,0,71,0,65,0,80,81,76,73,0,81,69,0,72,69,74
78,26,65,90,84,77,80,76,0,76,76,82,0,0,0,0,0,0,79,0,80,0,77,0,77,0,80,79,78,79,0,79,81,0,61,78,79
78,24,75,73,80,84,81,80,0,79,79,80,0,0,0,0,0,0,69,0,77,0,80,0,72,0,80,81,81,85,0,77,88,0,82,80,74
79,25,57,74,78,56,84,71,0,78,80,81,0,0,0,0,0,0,73,0,76,0,89,0,72,0,80,75,74,87,0,79,69,0,76,72,73
86,27,67,75,83,66,78,73,0,78,77,82,0,0,0,0,0,0,70,0,67,0,74,0,74,0,80,74,77,80,0,85,74,0,75,75,79
87,26,77,85,81,64,78,76,0,61,81,77,0,0,0,0,0,0,75,0,80,0,70,0,70,0,80,78,77,77,0,85,84,0,78,72,76
53,29,83,51,82,34,78,81,0,73,76,82,0,0,0,0,0,0,85,0,79,0,78,0,61,0,80,79,67,82,0,62,71,0,85,67,80
78,27,50,80,80,69,88,80,0,85,85,80,0,0,0,0,0,0,68,0,70,0,82,0,80,0,80,76,78,82,0,81,69,0,75,78,79
86,30,60,81,85,80,85,78,0,80,83,81,0,0,0,0,0,0,60,0,54,0,78,0,78,0,80,78,76,80,0,84,76,0,60,78,76
75,30,82,77,77,58,83,80,0,81,79,73,0,0,0,0,0,0,74,0,85,0,77,0,67,0,80,73,80,84,0,73,70,0,86,76,83
54,32,82,66,85,59,76,79,0,73,72,85,0,0,0,0,0,0,82,0,72,0,66,0,77,0,80,84,76,80,0,64,68,0,79,73,84
66,33,59,69,84,59,82,79,0,86,82,78,0,0,0,0,0,0,75,0,57,0,80,0,84,0,80,77,74,83,0,64,62,0,65,79,85
81,23,81,79,84,69,76,86,0,54,73,79,0,0,0,0,0,0,76,0,79,0,74,0,74,0,79,83,62,79,0,79,87,0,75,67,77
79,28,67,74,77,74,76,71,0,69,71,80,0,0,0,0,0,0,77,0,75,0,76,0,74,0,79,79,69,84,0,76,81,0,83,70,67
86,22,41,87,79,83,85,71,0,82,87,81,0,0,0,0,0,0,61,0,54,0,82,0,55,0,79,82,65,78,0,80,69,0,59,69,77
87,21,69,77,80,62,76,70,0,54,78,79,0,0,0,0,0,0,73,0,73,0,69,0,65,0,79,76,75,77,0,85,74,0,82,71,70
78,23,66,79,83,87,85,71,0,83,86,82,0,0,0,0,0,0,69,0,74,0,75,0,69,0,79,82,79,70,0,75,69,0,57,73,81
81,24,59,78,77,78,76,74,0,77,76,80,0,0,0,0,0,0,72,0,73,0,78,0,63,0,79,72,76,83,0,82,80,0,78,76,81
73,23,67,69,79,63,76,72,0,71,71,84,0,0,0,0,0,0,74,0,62,0,78,0,79,0,79,75,63,83,0,75,77,0,74,60,76
77,25,78,77,83,68,77,68,0,68,76,80,0,0,0,0,0,0,80,0,85,0,76,0,80,0,79,69,65,82,0,78,69,0,80,66,76
86,25,68,87,78,87,80,76,0,76,84,80,0,0,0,0,0,0,65,0,66,0,82,0,66,0,79,74,75,83,0,84,74,0,65,79,71
74,23,59,76,87,78,79,66,0,66,72,81,0,0,0,0,0,0,77,0,75,0,68,0,71,0,79,86,72,80,0,73,66,0,63,63,82
64,25,65,59,81,51,79,73,0,63,76,82,0,0,0,0,0,0,75,0,56,0,78,0,80,0,79,80,73,83,0,68,66,0,86,63,75
82,25,75,90,83,76,77,77,0,72,80,78,0,0,0,0,0,0,66,0,85,0,73,0,73,0,79,74,79,79,0,87,81,0,77,76,75
72,28,79,59,81,53,78,75,0,40,72,80,0,0,0,0,0,0,78,0,75,0,73,0,78,0,79,74,63,85,0,77,66,0,87,65,74
90,29,65,70,78,70,77,81,0,79,80,79,0,0,0,0,0,0,73,0,83,0,75,0,79,0,79,80,74,79,0,92,84,0,67,74,78
69,28,75,50,83,37,78,70,0,65,71,78,0,0,0,0,0,0,88,0,60,0,66,0,77,0,79,76,71,79,0,73,83,0,93,79,72
72,31,63,46,79,57,75,82,0,76,72,80,0,0,0,0,0,0,78,0,75,0,71,0,89,0,79,77,73,81,0,75,69,0,84,68,79
74,30,61,71,83,71,77,75,0,66,72,80,0,0,0,0,0,0,77,0,74,0,74,0,70,0,79,75,72,79,0,75,69,0,76,66,74
86,31,72,86,80,71,76,78,0,75,79,77,0,0,0,0,0,0,77,0,80,0,73,0,75,0,79,80,74,78,0,85,75,0,77,73,86
83,30,24,84,82,86,86,82,0,78,83,84,0,0,0,0,0,0,63,0,65,0,80,0,87,0,79,76,76,74,0,82,59,0,55,76,80
52,32,71,40,85,33,77,84,0,57,67,78,0,0,0,0,0,0,90,0,56,0,64,0,70,0,79,80,71,79,0,57,63,0,91,70,80
66,31,52,59,79,58,76,82,0,61,72,80,0,0,0,0,0,0,81,0,73,0,75,0,83,0,79,76,73,84,0,70,66,0,85,69,79
64,33,69,65,81,62,75,80,0,73,69,81,0,0,0,0,0,0,80,0,77,0,78,0,56,0,79,81,73,81,0,67,65,0,76,61,83
75,34,57,82,81,79,80,79,0,76,77,79,0,0,0,0,0,0,76,0,79,0,75,0,84,0,79,76,75,77,0,80,82,0,73,71,74
83,31,85,72,86,48,65,65,0,66,69,82,0,0,0,0,0,0,72,0,66,0,73,0,79,0,79,81,66,85,0,82,68,0,77,62,77
88,27,75,86,77,76,78,67,0,66,81,73,0,0,0,0,0,0,88,0,82,0,70,0,73,0,79,75,71,75,0,89,80,0,85,65,68
92,19,56,86,81,76,79,73,0,67,83,76,0,0,0,0,0,0,68,0,66,0,64,0,74,0,78,76,73,75,0,90,79,0,61,70,73
88,19,56,92,79,91,83,84,0,76,85,80,0,0,0,0,0,0,61,0,63,0,72,0,73,0,78,82,74,73,0,85,84,0,61,72,67
78,21,76,77,83,73,78,70,0,69,77,75,0,0,0,0,0,0,77,0,84,0,66,0,77,0,78,79,67,76,0,85,85,0,76,66,74
83,26,84,74,81,77,77,67,0,68,75,79,0,0,0,0,0,0,76,0,76,0,65,0,68,0,78,78,63,77,0,84,84,0,85,58,69
81,21,32,82,80,75,83,76,0,73,82,80,0,0,0,0,0,0,69,0,75,0,65,0,69,0,78,74,71,75,0,83,72,0,76,72,67
78,25,73,78,81,75,80,75,0,68,81,79,0,0,0,0,0,0,69,0,69,0,76,0,79,0,78,79,68,79,0,69,76,0,67,59,76
73,24,72,69,85,70,77,66,0,49,74,80,0,0,0,0,0,0,81,0,91,0,62,0,70,0,78,69,68,74,0,70,71,0,79,64,78
69,25,58,65,78,58,76,73,0,46,72,81,0,0,0,0,0,0,78,0,79,0,64,0,64,0,78,74,64,86,0,78,69,0,90,47,76
92,21,63,79,80,77,77,64,0,62,78,82,0,0,0,0,0,0,65,0,77,0,64,0,63,0,78,80,74,71,0,90,78,0,59,57,72
70,26,79,65,77,60,72,68,0,67,71,79,0,0,0,0,0,0,71,0,82,0,77,0,47,0,78,76,73,84,0,86,87,0,81,70,74
77,25,75,84,85,53,75,73,0,70,74,75,0,0,0,0,0,0,82,0,70,0,69,0,86,0,78,77,71,78,0,78,78,0,78,71,79
75,25,76,63,83,58,72,77,0,50,69,82,0,0,0,0,0,0,80,0,74,0,69,0,65,0,78,74,69,77,0,77,79,0,77,65,76
76,26,60,66,76,64,80,68,0,69,78,78,0,0,0,0,0,0,71,0,72,0,77,0,72,0,78,74,73,80,0,78,84,0,81,75,73
65,24,75,65,78,58,83,78,0,68,76,79,0,0,0,0,0,0,67,0,68,0,80,0,81,0,78,76,70,85,0,66,64,0,82,60,77
83,26,80,79,80,73,76,76,0,75,75,81,0,0,0,0,0,0,76,0,82,0,68,0,70,0,78,75,70,75,0,77,83,0,77,72,74
66,31,77,76,81,74,83,82,0,67,78,80,0,0,0,0,0,0,73,0,80,0,76,0,72,0,78,77,77,78,0,67,68,0,76,76,75
66,27,67,65,83,55,74,78,0,59,66,82,0,0,0,0,0,0,81,0,82,0,71,0,77,0,78,78,59,83,0,74,74,0,81,61,72
58,24,61,61,83,41,80,70,0,68,69,78,0,0,0,0,0,0,77,0,56,0,73,0,72,0,78,78,66,81,0,67,60,0,89,65,80
60,27,66,68,85,65,79,65,0,55,73,81,0,0,0,0,0,0,80,0,76,0,67,0,63,0,78,82,69,73,0,67,77,0,80,63,79
74,25,72,76,80,66,76,74,0,72,74,78,0,0,0,0,0,0,82,0,80,0,73,0,82,0,78,78,70,80,0,73,74,0,80,61,76
75,29,52,87,77,84,86,75,0,86,83,78,0,0,0,0,0,0,75,0,81,0,82,0,77,0,78,74,78,80,0,74,74,0,58,83,82
88,29,70,75,78,68,70,73,0,32,65,80,0,0,0,0,0,0,87,0,91,0,64,0,75,0,78,76,67,80,0,87,79,0,78,60,71
54,29,88,53,82,49,73,61,0,55,65,82,0,0,0,0,0,0,88,0,61,0,72,0,64,0,78,79,47,84,0,65,68,0,90,47,75
69,29,86,66,76,78,75,72,0,78,78,77,0,0,0,0,0,0,74,0,82,0,72,0,68,0,78,75,73,85,0,76,77,0,91,64,76
69,28,80,65,77,74,75,78,0,68,65,80,0,0,0,0,0,0,82,0,86,0,78,0,80,0,78,74,73,86,0,69,79,0,92,67,74
69,28,85,62,76,50,74,78,0,53,67,77,0,0,0,0,0,0,91,0,84,0,78,0,73,0,78,77,65,85,0,65,75,0,92,65,74
78,29,38,77,82,69,80,72,0,72,77,82,0,0,0,0,0,0,76,0,83,0,70,0,76,0,78,70,72,76,0,78,72,0,72,66,78
76,31,68,83,76,66,74,85,0,48,73,77,0,0,0,0,0,0,79,0,83,0,68,0,72,0,78,75,73,80,0,81,78,0,83,69,72
78,31,58,75,78,68,75,78,0,68,74,78,0,0,0,0,0,0,86,0,91,0,64,0,72,0,78,77,69,76,0,83,72,0,75,65,73
77,30,65,71,82,72,80,75,0,64,72,83,0,0,0,0,0,0,75,0,80,0,67,0,74,0,78,78,68,75,0,76,68,0,73,70,68
76,34,44,72,82,75,81,78,0,76,75,80,0,0,0,0,0,0,60,0,69,0,89,0,77,0,78,76,71,87,0,68,69,0,78,71,85
83,35,79,81,84,83,84,80,0,78,82,80,0,0,0,0,0,0,75,0,80,0,62,0,79,0,78,76,74,70,0,79,69,0,62,76,76
60,31,73,65,83,64,79,79,0,74,71,78,0,0,0,0,0,0,78,0,76,0,74,0,79,0,78,79,78,79,0,62,58,0,70,78,81
76,32,72,76,82,82,77,76,0,68,78,79,0,0,0,0,0,0,76,0,77,0,73,0,85,0,78,72,71,80,0,73,75,0,79,72,72
34,34,60,49,86,40,76,82,0,88,72,81,0,0,0,0,0,0,77,0,48,0,79,0,76,0,78,80,76,82,0,52,59,0,88,79,80
45,38,68,67,85,55,80,85,0,75,77,82,0,0,0,0,0,0,78,0,65,0,74,0,81,0,78,78,77,76,0,45,54,0,78,79,77
61,23,42,74,70,72,83,81,0,75,86,75,0,0,0,0,0,0,63,0,55,0,84,0,66,1,77,73,79,81,0,64,75,0,76,80,82
87,18,57,77,75,75,81,79,0,74,83,76,0,0,0,0,0,0,75,0,71,0,58,0,65,0,77,75,75,74,0,88,76,0,69,77,67
81,25,52,79,75,77,73,51,0,61,72,76,0,0,0,0,0,0,77,0,56,0,77,0,56,0,77,73,65,85,0,81,61,0,72,56,72
84,25,65,55,73,55,69,59,0,59,73,74,0,0,0,0,0,0,77,0,84,0,76,0,74,0,77,83,63,84,0,81,56,0,87,58,76
72,22,77,64,79,70,75,75,0,54,68,81,0,0,0,0,0,0,73,0,75,0,68,0,81,0,77,75,74,83,0,76,81,0,80,50,66
79,21,62,87,77,81,81,46,0,83,75,84,0,0,0,0,0,0,62,0,72,0,77,0,70,0,77,73,68,80,0,78,65,0,68,56,74
78,26,64,76,77,66,73,70,0,67,74,74,0,0,0,0,0,0,75,0,88,0,80,0,66,0,77,75,68,81,0,84,74,0,71,69,71
83,22,65,77,75,77,75,56,0,66,74,79,0,0,0,0,0,0,76,0,90,0,76,0,55,0,77,74,69,75,0,82,54,0,72,60,69
75,24,62,76,83,69,77,72,0,68,78,79,0,0,0,0,0,0,68,0,72,0,65,0,75,0,77,79,76,75,0,78,67,0,63,74,67
76,23,85,66,76,74,73,75,0,60,75,73,0,0,0,0,0,0,74,0,75,0,68,0,69,0,77,75,69,82,0,85,77,0,90,62,74
69,24,41,70,80,69,77,61,0,70,73,81,0,0,0,0,0,0,72,0,72,0,68,0,73,0,77,81,71,76,0,66,70,0,68,58,74
68,28,60,66,80,59,74,66,0,49,66,83,0,0,0,0,0,0,82,0,82,0,56,0,64,0,77,76,64,80,0,68,69,0,85,52,80
75,22,41,69,77,51,79,65,0,52,72,79,0,0,0,0,0,0,75,0,80,0,62,0,86,0,77,75,64,77,0,78,71,0,91,70,70
74,26,76,64,76,61,74,72,0,66,76,75,0,0,0,0,0,0,79,0,92,0,64,0,75,0,77,80,63,79,0,75,68,0,83,64,75
87,26,70,79,78,74,77,64,0,73,79,76,0,0,0,0,0,0,67,0,65,0,74,0,67,0,77,82,75,77,0,82,72,0,57,75,73
77,33,63,76,80,68,76,69,0,66,74,80,0,0,0,0,0,0,75,0,80,0,73,0,74,0,77,74,72,75,0,78,71,0,70,69,73
76,25,61,74,80,68,77,70,0,60,76,77,0,0,0,0,0,0,71,0,80,0,65,0,72,0,77,79,72,77,0,75,70,0,67,70,72
67,27,47,79,86,60,76,79,0,55,65,82,0,0,0,0,0,0,80,0,79,0,72,0,78,0,77,78,73,75,0,65,74,0,64,43,77
88,25,50,86,76,77,86,70,0,65,86,76,0,0,0,0,0,0,52,0,62,0,71,0,74,0,77,73,74,80,0,90,72,0,66,70,70
79,25,77,77,74,63,77,75,0,69,78,74,0,0,0,0,0,0,75,0,78,0,73,0,76,0,77,75,74,78,0,85,77,0,83,72,70
89,26,52,77,78,68,81,69,0,76,80,72,0,0,0,0,0,0,64,0,74,0,75,0,82,0,77,78,75,78,0,88,69,0,67,66,74
89,24,60,79,79,82,77,70,0,57,78,77,0,0,0,0,0,0,71,0,81,0,67,0,68,0,77,74,69,74,0,84,81,0,73,68,66
79,30,80,85,83,75,76,70,0,53,76,75,0,0,0,0,0,0,74,0,90,0,68,0,74,0,77,84,73,77,0,73,83,0,69,68,75
76,26,62,76,84,76,76,76,0,68,72,82,0,0,0,0,0,0,76,0,82,0,60,0,69,0,77,70,68,78,0,78,68,0,68,58,76
55,26,50,64,82,57,77,73,0,68,69,74,0,0,0,0,0,0,90,0,83,0,68,0,58,0,77,76,77,80,0,65,76,0,80,73,78
77,29,83,76,78,61,73,77,0,67,76,77,0,0,0,0,0,0,72,0,74,0,75,0,73,0,77,75,71,79,0,77,79,0,82,70,75
76,27,52,67,79,74,77,73,0,63,76,78,0,0,0,0,0,0,74,0,77,0,72,0,71,0,77,77,67,80,0,75,82,0,76,69,70
76,31,57,75,75,66,82,80,0,75,73,78,0,0,0,0,0,0,68,0,60,0,80,0,69,0,77,75,78,83,0,74,77,0,59,71,73
76,31,52,74,77,69,76,78,0,75,73,78,0,0,0,0,0,0,69,0,51,0,80,0,80,0,77,81,69,81,0,71,74,0,67,70,79
78,27,83,78,84,71,77,77,0,71,69,80,0,0,0,0,0,0,77,0,90,0,41,0,79,0,77,74,66,73,0,76,78,0,78,59,77
90,28,51,83,77,70,75,67,0,71,79,80,0,0,0,0,0,0,68,0,71,0,65,0,79,0,77,76,71,78,0,91,70,0,65,65,72
73,27,73,58,78,48,75,71,0,58,75,74,0,0,0,0,0,0,80,0,76,0,69,0,68,0,77,71,71,81,0,78,79,0,93,62,67
68,32,50,72,84,65,74,78,0,65,68,80,0,0,0,0,0,0,80,0,85,0,58,0,70,0,77,74,67,76,0,69,68,0,78,60,77
71,28,81,61,82,67,77,70,0,66,72,71,0,0,0,0,0,0,75,0,75,0,68,0,73,0,77,78,69,84,0,74,68,0,89,61,75
84,30,79,74,77,75,77,74,0,54,73,75,0,0,0,0,0,0,75,0,93,0,67,0,78,0,77,77,62,76,0,84,84,0,79,63,70
79,31,76,76,77,63,80,75,0,64,75,77,0,0,0,0,0,0,70,0,91,0,75,0,71,0,77,71,75,80,0,75,76,0,82,73,73
64,32,66,91,80,67,85,78,0,78,74,78,0,0,0,0,0,0,74,0,91,0,73,0,61,0,77,79,60,83,0,65,65,0,70,55,84
64,31,70,62,82,55,76,72,0,60,69,81,0,0,0,0,0,0,84,0,78,0,66,0,75,0,77,74,70,74,0,66,67,0,81,65,65
51,30,59,68,82,52,77,75,0,75,71,80,0,0,0,0,0,0,85,0,76,0,66,0,64,0,77,80,69,76,0,53,45,0,81,63,81
78,29,48,79,78,75,86,74,0,79,85,76,0,0,0,0,0,0,60,0,69,0,70,0,81,0,77,77,77,68,0,78,69,0,55,73,76
82,30,66,86,78,74,87,72,0,81,86,78,0,0,0,0,0,0,56,0,69,0,82,0,70,0,77,75,72,80,0,78,69,0,62,63,78
55,33,79,47,82,45,70,78,0,66,67,78,0,0,0,0,0,0,86,0,80,0,71,0,79,0,77,82,75,79,0,63,77,0,81,72,80
73,31,69,81,78,65,73,74,0,67,72,77,0,0,0,0,0,0,79,0,81,0,69,0,69,0,77,75,79,77,0,80,74,0,78,80,79
68,33,70,65,76,52,74,84,0,69,72,76,0,0,0,0,0,0,78,0,76,0,68,0,79,0,77,75,72,79,0,71,64,0,82,75,78
83,23,55,79,75,75,77,66,0,66,79,73,0,0,0,0,0,0,54,0,59,0,68,0,59,1,76,74,74,79,0,79,68,0,65,75,67
76,31,39,78,77,80,77,73,0,79,72,77,0,0,0,0,0,0,46,0,60,0,79,0,66,1,76,77,78,77,0,74,73,0,48,76,76
